,playerId,name,team,position,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
1,8470140,Kari Lehtonen,ATL,G,46,157455.0,129.82,134.0,2573.0,92.29,93.0,306.98,338.0,1366.01,1498.0,36.75,28.0,762.51,623.0,576.22,745.0,125.46,1497.0,361.0,110.0,46.02,43.49,40.3,42.0,41.0,51.0,605.0,6.0,3.0
6,8470147,Curtis McElhinney,CGY,G,13,27256.0,22.22,27.0,389.0,15.63,20.0,51.15,52.0,227.88,241.0,8.27,10.0,129.78,99.0,94.83,118.0,21.27,240.0,61.0,22.0,7.22,7.77,7.23,7.0,10.0,10.0,66.0,0.0,0.0
11,8467430,Dany Sabourin,PIT,G,19,59366.0,43.21,47.0,917.0,32.07,32.0,107.36,112.0,462.96,463.0,13.69,13.0,254.82,214.0,192.89,228.0,41.21,484.0,119.0,44.0,15.14,14.06,14.01,13.0,19.0,15.0,270.0,2.0,1.0
16,8469514,Peter Budaj,COL,G,56,191512.0,136.02,154.0,3070.0,101.74,127.0,341.84,322.0,1503.93,1531.0,45.57,41.0,831.89,684.0,645.44,840.0,131.87,1699.0,366.0,117.0,51.39,44.38,40.25,55.0,52.0,47.0,888.0,0.0,0.0
21,8473607,Michal Neuvirth,WSH,G,5,13193.0,7.95,11.0,180.0,6.61,8.0,21.61,23.0,94.34,102.0,4.34,4.0,51.82,40.0,40.72,48.0,7.67,108.0,19.0,6.0,3.22,2.34,2.38,5.0,3.0,3.0,47.0,0.0,0.0
26,8471469,Pekka Rinne,NSH,G,52,178752.0,117.1,119.0,2553.0,92.7,89.0,312.96,400.0,1390.6,1435.0,44.3,57.0,780.05,595.0,596.23,704.0,113.58,1512.0,337.0,103.0,44.37,40.63,32.1,41.0,45.0,33.0,601.0,6.0,3.0
31,8462117,Vesa Toskala,TOR,G,52,177444.0,145.33,163.0,2940.0,104.26,81.0,338.42,307.0,1533.72,1496.0,51.18,56.0,842.76,748.0,653.57,788.0,139.07,1594.0,416.0,137.0,46.97,50.35,48.0,56.0,49.0,58.0,793.0,2.0,1.0
36,8473632,Josh Tordjman,ARI,G,2,7062.0,4.87,8.0,109.0,3.57,4.0,12.45,10.0,54.58,62.0,2.33,3.0,29.37,22.0,23.98,29.0,4.79,59.0,12.0,5.0,1.97,1.58,1.33,3.0,3.0,2.0,33.0,0.0,0.0
41,8467391,Jason LaBarbera,VAN,G,27,85293.0,59.31,66.0,1210.0,47.4,55.0,157.18,147.0,685.39,665.0,21.93,24.0,385.48,322.0,287.9,360.0,56.36,756.0,145.0,60.0,21.84,17.57,19.9,21.0,24.0,21.0,249.0,2.0,1.0
46,8471305,Daniel Lacosta,CBJ,G,3,9341.0,5.7,4.0,141.0,4.99,3.0,18.38,11.0,78.59,80.0,2.28,2.0,44.85,34.0,34.65,54.0,5.46,96.0,9.0,7.0,2.34,0.95,2.41,2.0,1.0,1.0,29.0,0.0,0.0
51,8448535,Olie Kolzig,T.B,G,8,24603.0,18.7,25.0,413.0,15.13,14.0,49.85,35.0,218.9,245.0,5.65,7.0,126.52,117.0,94.16,116.0,17.55,238.0,59.0,16.0,6.47,6.66,5.57,6.0,12.0,7.0,100.0,0.0,0.0
56,8468550,Mikael Tellqvist,BUF,G,21,60449.0,45.21,47.0,957.0,33.09,25.0,108.38,121.0,485.7,533.0,15.25,15.0,278.31,257.0,212.35,277.0,43.96,583.0,120.0,32.0,17.7,14.48,13.03,13.0,19.0,15.0,222.0,0.0,0.0
61,8470772,Chris Holt,STL,G,1,1113.0,0.16,0.0,8.0,0.18,0.0,0.58,1.0,2.94,3.0,0.38,1.0,1.54,0.0,1.46,3.0,0.16,4.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
66,8468481,Rick DiPietro,NYI,G,5,15359.0,11.39,15.0,258.0,10.09,13.0,31.98,27.0,137.88,139.0,4.77,5.0,81.31,74.0,56.88,58.0,10.93,152.0,31.0,13.0,3.51,3.65,4.23,4.0,4.0,7.0,62.0,2.0,1.0
71,8448382,Curtis Joseph,TOR,G,20,50142.0,41.08,50.0,748.0,27.95,21.0,88.69,59.0,412.98,383.0,15.04,14.0,226.95,191.0,174.11,241.0,39.57,408.0,127.0,38.0,12.01,15.25,13.81,15.0,18.0,17.0,175.0,0.0,0.0
76,8462147,Miikka Kiprusoff,CGY,G,76,265079.0,189.46,209.0,3697.0,145.14,146.0,478.79,499.0,2118.21,2155.0,74.32,68.0,1195.19,920.0,897.98,1157.0,180.78,2260.0,561.0,170.0,63.63,66.79,59.04,73.0,77.0,59.0,706.0,2.0,1.0
81,8468166,Curtis Sanford,VAN,G,19,58355.0,40.92,42.0,846.0,30.92,27.0,99.47,81.0,454.85,448.0,14.93,15.0,260.84,209.0,193.39,270.0,39.23,499.0,105.0,38.0,14.66,12.5,13.76,17.0,12.0,13.0,204.0,2.0,1.0
86,8474488,Matt Climie,DAL,G,3,11056.0,8.65,9.0,160.0,6.43,7.0,19.61,10.0,91.09,85.0,2.72,2.0,53.25,43.0,36.09,57.0,7.92,97.0,23.0,7.0,3.01,2.92,2.72,3.0,4.0,2.0,33.0,0.0,0.0
91,8473461,Steve Mason,CBJ,G,61,219711.0,134.99,140.0,3023.0,106.17,93.0,354.45,279.0,1580.03,1658.0,50.86,76.0,901.49,834.0,672.15,864.0,130.99,1782.0,391.0,105.0,51.47,46.88,36.64,50.0,50.0,40.0,745.0,2.0,1.0
