team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ANA,2008,ANA,2008020008,ANA,S.J,AWAY,20081009,Team Level,other,0.4027,0.3333,0.3333,24.0,0.725,0.118,0.044,0.114,0.023,0.463,0.237,0.118,0.118,0.118,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.015,0.0,0.0,0.133,0.133,0.133,1.326,0.175,0.136,0.261,0.043,0.803,0.581,0.147,0.175,0.147,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.074,0.101,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.045,0.0,0.0,0.22,0.22,0.185
ANA,2008,ANA,2008020008,ANA,S.J,AWAY,20081009,Team Level,all,0.2594,0.3883,0.3846,3600.0,20.186,1.271,1.268,4.608,0.701,11.966,9.252,1.234,1.249,1.213,29.0,1.0,10.0,40.0,1.0,2.0,0.0,10.0,0.0,10.0,7.0,28.0,29.0,7.0,14.0,25.0,14.0,4.0,1.0,26.0,4.0,0.0,0.649,0.622,0.0,1.0,0.0,0.0,38.441,30.0,29.452,0.0,0.278,0.23,0.23,1.254,1.24,1.212,34.463,3.628,2.876,7.565,1.112,20.046,12.773,3.37,3.642,3.384,41.0,7.0,15.0,63.0,4.0,3.0,1.0,6.0,0.0,13.0,22.0,37.0,44.0,2.0,4.0,35.0,23.0,6.0,8.0,32.0,12.0,4.0,1.166,1.357,1.105,1.0,1.0,2.0,64.278,48.0,48.39,4.0,0.658,0.666,0.666,3.62,3.634,3.428
ANA,2008,ANA,2008020008,ANA,S.J,AWAY,20081009,Team Level,5on5,0.3577,0.4429,0.4231,2671.0,14.604,1.083,0.881,3.417,0.529,8.32,6.835,1.046,1.061,1.025,22.0,0.0,9.0,31.0,1.0,2.0,0.0,8.0,0.0,6.0,5.0,21.0,21.0,6.0,12.0,19.0,12.0,4.0,0.0,19.0,3.0,0.0,0.579,0.503,0.0,1.0,0.0,0.0,29.441,22.0,21.452,0.0,0.179,0.23,0.23,0.967,0.953,0.926,21.516,1.945,1.636,4.923,0.691,12.438,8.366,1.928,1.96,1.943,24.0,6.0,9.0,39.0,2.0,2.0,1.0,3.0,0.0,8.0,15.0,22.0,28.0,2.0,4.0,21.0,21.0,6.0,7.0,22.0,5.0,3.0,0.632,0.529,0.784,0.0,0.0,2.0,40.278,30.0,30.39,4.0,0.338,0.345,0.345,1.938,1.951,1.94
ANA,2008,ANA,2008020008,ANA,S.J,AWAY,20081009,Team Level,4on5,0.024,0.0476,0.0588,665.0,0.754,0.037,0.028,0.127,0.019,0.216,0.574,0.037,0.037,0.037,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.043,0.043,0.043,11.62,1.507,1.104,2.381,0.378,6.806,3.825,1.295,1.507,1.295,15.0,1.0,4.0,20.0,2.0,1.0,0.0,3.0,0.0,4.0,6.0,13.0,14.0,0.0,0.0,7.0,1.0,0.0,1.0,9.0,6.0,1.0,0.46,0.726,0.32,1.0,1.0,0.0,20.0,16.0,16.0,0.0,0.276,0.32,0.32,1.462,1.462,1.303
ANA,2008,ANA,2008020008,ANA,S.J,AWAY,20081009,Team Level,5on4,1.0,0.7778,1.0,240.0,4.103,0.033,0.315,0.949,0.13,2.967,1.606,0.033,0.033,0.033,5.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0.078,0.0,0.0,0.111,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA,2008,ANA,2008020030,ANA,ARI,HOME,20081012,Team Level,other,0.499,0.625,0.5714,162.0,2.854,0.256,0.21,0.482,0.098,2.007,0.947,0.254,0.256,0.254,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,3.0,9.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.08,0.176,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.053,0.0,0.0,0.309,0.309,0.307,2.175,0.257,0.123,0.457,0.055,1.035,1.073,0.257,0.257,0.257,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.041,0.0,0.215,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.031,0.0,0.0,0.288,0.288,0.288
ANA,2008,ANA,2008020030,ANA,ARI,HOME,20081012,Team Level,all,0.5481,0.5979,0.6098,3599.0,35.471,2.298,2.087,8.039,1.125,19.964,16.487,2.277,2.177,2.158,35.0,15.0,8.0,58.0,2.0,0.0,0.0,11.0,2.0,14.0,21.0,33.0,48.0,11.0,28.0,38.0,28.0,6.0,13.0,41.0,9.0,0.0,1.203,1.095,0.0,2.0,0.0,0.0,53.91,50.0,46.595,6.0,0.444,0.0,0.0,2.742,2.595,2.57,23.632,1.895,1.527,5.666,0.722,12.263,9.928,1.854,1.977,1.934,24.0,8.0,7.0,39.0,4.0,3.0,2.0,4.0,0.0,9.0,12.0,20.0,28.0,8.0,22.0,25.0,12.0,9.0,5.0,27.0,3.0,2.0,0.532,0.377,0.987,0.0,2.0,2.0,41.889,32.0,33.943,1.0,0.359,0.899,0.899,1.355,1.437,1.432
ANA,2008,ANA,2008020030,ANA,ARI,HOME,20081012,Team Level,5on5,0.6359,0.619,0.6415,2496.0,23.946,1.352,1.381,5.953,0.778,13.471,11.065,1.333,1.231,1.214,25.0,9.0,5.0,39.0,2.0,0.0,0.0,8.0,1.0,11.0,12.0,23.0,32.0,7.0,17.0,24.0,24.0,6.0,10.0,30.0,4.0,0.0,0.827,0.524,0.0,2.0,0.0,0.0,34.91,34.0,30.595,4.0,0.277,0.0,0.0,1.629,1.482,1.461,14.027,0.774,0.753,3.647,0.432,7.211,6.183,0.762,0.856,0.842,15.0,4.0,5.0,24.0,2.0,1.0,1.0,2.0,0.0,6.0,8.0,13.0,17.0,6.0,15.0,19.0,11.0,6.0,5.0,16.0,3.0,0.0,0.398,0.377,0.0,0.0,2.0,0.0,26.889,19.0,20.943,1.0,0.151,0.104,0.104,0.821,0.903,0.9
ANA,2008,ANA,2008020030,ANA,ARI,HOME,20081012,Team Level,4on5,0.1989,0.2667,0.3077,593.0,2.88,0.212,0.148,0.33,0.069,0.937,2.304,0.212,0.212,0.212,1.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,7.0,3.0,0.0,1.0,3.0,1.0,0.0,0.046,0.166,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.034,0.0,0.0,0.246,0.246,0.246,6.781,0.854,0.629,1.481,0.216,3.806,2.014,0.825,0.854,0.825,7.0,2.0,2.0,11.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,6.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0,8.0,0.0,1.0,0.083,0.0,0.771,0.0,0.0,1.0,11.0,9.0,9.0,0.0,0.17,0.794,0.794,0.23,0.23,0.228
ANA,2008,ANA,2008020030,ANA,ARI,HOME,20081012,Team Level,5on4,0.9795,0.9091,0.8889,348.0,5.792,0.478,0.347,1.274,0.18,3.549,2.171,0.477,0.478,0.477,6.0,2.0,2.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,8.0,1.0,2.0,4.0,1.0,0.0,1.0,6.0,2.0,0.0,0.25,0.228,0.0,0.0,0.0,0.0,10.0,8.0,8.0,0.0,0.08,0.0,0.0,0.558,0.558,0.557,0.65,0.01,0.022,0.082,0.019,0.211,0.658,0.01,0.01,0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.016,0.016,0.016
