team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ARI,2008,ARI,2008020027,ARI,CBJ,HOME,20081011,Team Level,other,0.1427,0.375,0.3333,326.0,1.709,0.305,0.19,0.308,0.037,0.636,0.524,0.305,0.305,0.305,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.021,0.0,0.284,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.059,0.0,0.0,0.364,0.364,0.364,3.252,1.832,0.139,0.396,0.093,0.954,0.586,1.437,1.832,1.437,2.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.107,1.725,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.055,0.0,0.0,1.887,1.887,1.483
ARI,2008,ARI,2008020027,ARI,CBJ,HOME,20081011,Team Level,all,0.3539,0.425,0.4444,3600.0,25.165,2.417,1.886,5.762,0.869,14.34,10.727,2.38,2.419,2.382,30.0,6.0,15.0,51.0,3.0,2.0,0.0,7.0,1.0,11.0,12.0,27.0,33.0,7.0,17.0,30.0,24.0,4.0,2.0,24.0,11.0,1.0,0.779,1.354,0.284,1.0,2.0,0.0,52.902,36.0,37.134,0.0,0.425,0.222,0.222,2.621,2.623,2.595,31.793,4.412,2.137,6.986,1.045,17.139,13.281,3.959,4.401,3.948,29.0,16.0,24.0,69.0,1.0,2.0,0.0,6.0,2.0,19.0,15.0,28.0,44.0,10.0,23.0,35.0,13.0,4.0,2.0,29.0,12.0,4.0,0.871,1.299,2.242,0.0,0.0,1.0,66.453,45.0,43.679,0.0,0.483,0.161,0.161,4.734,4.723,4.254
ARI,2008,ARI,2008020027,ARI,CBJ,HOME,20081011,Team Level,5on5,0.4544,0.407,0.4333,2609.0,17.984,1.455,1.26,4.42,0.641,10.632,7.592,1.426,1.456,1.428,22.0,4.0,9.0,35.0,1.0,2.0,0.0,6.0,1.0,8.0,8.0,21.0,25.0,7.0,17.0,23.0,19.0,3.0,0.0,19.0,7.0,0.0,0.569,0.886,0.0,1.0,0.0,0.0,36.902,26.0,27.134,0.0,0.257,0.222,0.222,1.49,1.492,1.474,23.297,1.747,1.62,5.479,0.805,13.961,10.388,1.713,1.736,1.703,22.0,12.0,17.0,51.0,0.0,1.0,0.0,5.0,2.0,16.0,10.0,22.0,34.0,7.0,17.0,25.0,12.0,2.0,2.0,25.0,9.0,0.0,0.806,0.941,0.0,0.0,0.0,0.0,48.453,34.0,32.679,0.0,0.331,0.147,0.147,1.93,1.919,1.881
ARI,2008,ARI,2008020027,ARI,CBJ,HOME,20081011,Team Level,4on5,0.0235,0.1111,0.2,209.0,0.691,0.013,0.023,0.111,0.021,0.23,0.602,0.013,0.013,0.013,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.019,0.019,0.019,3.047,0.54,0.261,0.794,0.087,1.504,0.814,0.53,0.54,0.53,4.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.023,0.0,0.517,0.0,0.0,1.0,8.0,4.0,4.0,0.0,0.072,0.014,0.014,0.598,0.598,0.588
ARI,2008,ARI,2008020027,ARI,CBJ,HOME,20081011,Team Level,5on4,0.6873,0.7059,0.7,456.0,4.783,0.644,0.413,0.923,0.169,2.842,2.009,0.636,0.644,0.636,5.0,2.0,5.0,12.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0,0.0,0.176,0.468,0.0,0.0,2.0,0.0,12.0,7.0,7.0,0.0,0.103,0.0,0.0,0.748,0.748,0.737,2.197,0.293,0.117,0.316,0.06,0.72,1.493,0.278,0.293,0.278,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,4.0,6.0,0.0,2.0,0.0,1.0,2.0,0.0,0.042,0.251,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.025,0.0,0.0,0.318,0.318,0.302
ARI,2008,ARI,2008020030,ARI,ANA,AWAY,20081012,Team Level,other,0.501,0.375,0.4286,162.0,2.175,0.257,0.123,0.457,0.055,1.035,1.073,0.257,0.257,0.257,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.041,0.0,0.215,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.031,0.0,0.0,0.288,0.288,0.288,2.854,0.256,0.21,0.482,0.098,2.007,0.947,0.254,0.256,0.254,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,3.0,9.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.08,0.176,0.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.053,0.0,0.0,0.309,0.309,0.307
ARI,2008,ARI,2008020030,ARI,ANA,AWAY,20081012,Team Level,all,0.4519,0.4021,0.3902,3599.0,23.632,1.895,1.527,5.666,0.722,12.263,9.928,1.854,1.977,1.934,24.0,8.0,7.0,39.0,4.0,3.0,2.0,4.0,0.0,9.0,12.0,20.0,28.0,8.0,22.0,25.0,12.0,9.0,5.0,27.0,3.0,2.0,0.532,0.377,0.987,0.0,2.0,2.0,41.889,32.0,33.943,1.0,0.359,0.899,0.899,1.355,1.437,1.432,35.471,2.298,2.087,8.039,1.125,19.964,16.487,2.277,2.177,2.158,35.0,15.0,8.0,58.0,2.0,0.0,0.0,11.0,2.0,14.0,21.0,33.0,48.0,11.0,28.0,38.0,28.0,6.0,13.0,41.0,9.0,0.0,1.203,1.095,0.0,2.0,0.0,0.0,53.91,50.0,46.595,6.0,0.444,0.0,0.0,2.742,2.595,2.57
ARI,2008,ARI,2008020030,ARI,ANA,AWAY,20081012,Team Level,5on5,0.3641,0.381,0.3585,2496.0,14.027,0.774,0.753,3.647,0.432,7.211,6.183,0.762,0.856,0.842,15.0,4.0,5.0,24.0,2.0,1.0,1.0,2.0,0.0,6.0,8.0,13.0,17.0,6.0,15.0,19.0,11.0,6.0,5.0,16.0,3.0,0.0,0.398,0.377,0.0,0.0,2.0,0.0,26.889,19.0,20.943,1.0,0.151,0.104,0.104,0.821,0.903,0.9,23.946,1.352,1.381,5.953,0.778,13.471,11.065,1.333,1.231,1.214,25.0,9.0,5.0,39.0,2.0,0.0,0.0,8.0,1.0,11.0,12.0,23.0,32.0,7.0,17.0,24.0,24.0,6.0,10.0,30.0,4.0,0.0,0.827,0.524,0.0,2.0,0.0,0.0,34.91,34.0,30.595,4.0,0.277,0.0,0.0,1.629,1.482,1.461
ARI,2008,ARI,2008020030,ARI,ANA,AWAY,20081012,Team Level,4on5,0.0205,0.0909,0.1111,348.0,0.65,0.01,0.022,0.082,0.019,0.211,0.658,0.01,0.01,0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.016,0.016,0.016,5.792,0.478,0.347,1.274,0.18,3.549,2.171,0.477,0.478,0.477,6.0,2.0,2.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,8.0,1.0,2.0,4.0,1.0,0.0,1.0,6.0,2.0,0.0,0.25,0.228,0.0,0.0,0.0,0.0,10.0,8.0,8.0,0.0,0.08,0.0,0.0,0.558,0.558,0.557
ARI,2008,ARI,2008020030,ARI,ANA,AWAY,20081012,Team Level,5on4,0.8011,0.7333,0.6923,593.0,6.781,0.854,0.629,1.481,0.216,3.806,2.014,0.825,0.854,0.825,7.0,2.0,2.0,11.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,6.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0,8.0,0.0,1.0,0.083,0.0,0.771,0.0,0.0,1.0,11.0,9.0,9.0,0.0,0.17,0.794,0.794,0.23,0.23,0.228,2.88,0.212,0.148,0.33,0.069,0.937,2.304,0.212,0.212,0.212,1.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,7.0,3.0,0.0,1.0,3.0,1.0,0.0,0.046,0.166,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.034,0.0,0.0,0.246,0.246,0.246
