team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BUF,2008,BUF,2008020012,BUF,MTL,HOME,20081010,Team Level,other,0.133,0.2308,0.2,440.0,1.517,0.096,0.077,0.299,0.033,0.736,0.759,0.096,0.096,0.096,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.019,0.0,0.0,0.115,0.115,0.115,5.593,0.626,0.429,1.131,0.185,3.346,2.284,0.604,0.626,0.604,6.0,2.0,2.0,10.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,6.0,8.0,1.0,2.0,2.0,0.0,2.0,1.0,5.0,2.0,1.0,0.106,0.285,0.235,0.0,0.0,0.0,10.0,8.0,8.0,0.0,0.14,0.166,0.166,0.6,0.6,0.597
BUF,2008,BUF,2008020012,BUF,MTL,HOME,20081010,Team Level,all,0.5134,0.5203,0.5054,3900.0,33.581,2.513,2.404,7.734,0.982,19.853,13.515,2.476,2.433,2.397,36.0,11.0,17.0,64.0,1.0,0.0,0.0,8.0,0.0,13.0,25.0,35.0,46.0,5.0,10.0,34.0,14.0,5.0,18.0,38.0,8.0,1.0,1.223,0.991,0.3,0.0,1.0,0.0,62.455,47.0,45.885,9.0,0.53,0.0,0.0,3.042,2.948,2.902,31.448,2.382,1.983,7.416,1.041,18.935,14.243,2.351,2.45,2.419,28.0,18.0,13.0,59.0,1.0,4.0,0.0,8.0,1.0,9.0,23.0,27.0,45.0,6.0,12.0,30.0,20.0,3.0,13.0,41.0,3.0,2.0,1.308,0.416,0.658,1.0,0.0,0.0,60.518,46.0,47.177,6.0,0.478,0.328,0.328,2.532,2.606,2.594
BUF,2008,BUF,2008020012,BUF,MTL,HOME,20081010,Team Level,5on5,0.5411,0.5169,0.4925,2757.0,23.536,1.501,1.494,5.736,0.689,14.1,9.479,1.498,1.422,1.418,26.0,7.0,13.0,46.0,1.0,0.0,0.0,6.0,0.0,8.0,18.0,25.0,32.0,2.0,4.0,22.0,14.0,5.0,11.0,28.0,4.0,1.0,0.761,0.441,0.3,0.0,1.0,0.0,44.455,33.0,31.885,5.0,0.305,0.0,0.0,1.806,1.712,1.707,22.947,1.273,1.346,5.67,0.771,13.981,10.959,1.263,1.34,1.33,21.0,13.0,9.0,43.0,1.0,2.0,0.0,6.0,1.0,5.0,19.0,20.0,33.0,5.0,10.0,23.0,18.0,1.0,10.0,33.0,1.0,0.0,1.142,0.131,0.0,1.0,0.0,0.0,44.518,34.0,35.177,6.0,0.268,0.163,0.163,1.378,1.452,1.443
BUF,2008,BUF,2008020012,BUF,MTL,HOME,20081010,Team Level,4on5,0.1342,0.1667,0.2,240.0,0.735,0.075,0.039,0.084,0.023,0.224,0.555,0.075,0.075,0.075,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.084,0.084,0.084,2.908,0.484,0.208,0.615,0.086,1.607,1.001,0.484,0.484,0.484,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.061,0.0,0.423,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.07,0.0,0.0,0.554,0.554,0.554
BUF,2008,BUF,2008020012,BUF,MTL,HOME,20081010,Team Level,5on4,1.0,0.9333,1.0,463.0,7.794,0.839,0.795,1.615,0.237,4.792,2.722,0.807,0.839,0.807,8.0,3.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,8.0,11.0,1.0,2.0,5.0,0.0,0.0,4.0,7.0,4.0,0.0,0.29,0.55,0.0,0.0,0.0,0.0,14.0,11.0,11.0,2.0,0.198,0.0,0.0,1.037,1.037,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUF,2008,BUF,2008020033,BUF,NYI,AWAY,20081013,Team Level,other,0.751,0.7273,0.6667,352.0,3.972,0.591,0.209,0.637,0.107,1.69,2.765,0.591,0.591,0.591,5.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,8.0,49.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.05,0.086,0.455,0.0,0.0,1.0,8.0,6.0,6.0,1.0,0.068,0.0,0.0,0.66,0.66,0.659,2.115,0.196,0.116,0.363,0.084,0.951,1.291,0.196,0.196,0.196,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,1.0,1.0,4.0,2.0,1.0,0.0,0.073,0.123,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.028,0.0,0.0,0.224,0.224,0.224
BUF,2008,BUF,2008020033,BUF,NYI,AWAY,20081013,Team Level,all,0.6892,0.5596,0.5455,3600.0,30.377,3.88,2.207,5.941,0.979,15.376,13.617,3.642,4.035,3.796,35.0,7.0,19.0,61.0,7.0,1.0,1.0,4.0,2.0,17.0,11.0,28.0,35.0,13.0,59.0,20.0,15.0,5.0,9.0,30.0,6.0,6.0,0.796,0.674,2.41,1.0,1.0,5.0,65.727,42.0,44.58,6.0,0.532,0.297,0.297,4.116,4.293,4.064,24.921,1.75,1.745,5.401,0.791,12.979,12.335,1.712,1.637,1.603,24.0,11.0,13.0,48.0,1.0,1.0,0.0,5.0,2.0,9.0,17.0,23.0,34.0,18.0,61.0,40.0,26.0,15.0,10.0,28.0,7.0,0.0,0.829,0.922,0.0,1.0,0.0,0.0,44.727,35.0,32.547,4.0,0.378,0.17,0.17,1.958,1.84,1.83
BUF,2008,BUF,2008020033,BUF,NYI,AWAY,20081013,Team Level,5on5,0.5401,0.5373,0.4792,2102.0,16.73,1.367,1.079,3.8,0.531,9.178,7.043,1.362,1.522,1.516,20.0,3.0,13.0,36.0,3.0,0.0,0.0,2.0,1.0,13.0,4.0,17.0,20.0,5.0,10.0,13.0,14.0,3.0,5.0,18.0,4.0,1.0,0.581,0.497,0.289,1.0,1.0,1.0,40.727,23.0,25.58,4.0,0.221,0.0,0.0,1.588,1.766,1.76,17.928,1.164,1.24,4.172,0.561,9.714,8.149,1.127,1.051,1.018,18.0,7.0,6.0,31.0,0.0,1.0,0.0,4.0,1.0,7.0,12.0,18.0,25.0,13.0,51.0,16.0,16.0,11.0,5.0,21.0,4.0,0.0,0.6,0.564,0.0,0.0,0.0,0.0,27.727,25.0,22.547,3.0,0.255,0.17,0.17,1.249,1.131,1.123
BUF,2008,BUF,2008020033,BUF,NYI,AWAY,20081013,Team Level,4on5,0.8305,0.4167,0.5714,395.0,3.107,0.49,0.191,0.397,0.088,0.872,1.962,0.473,0.49,0.473,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.103,0.091,0.297,0.0,0.0,1.0,5.0,4.0,4.0,1.0,0.043,0.297,0.297,0.237,0.237,0.236,1.967,0.1,0.209,0.559,0.073,1.393,0.666,0.098,0.1,0.098,1.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.052,0.0,0.0,0.152,0.152,0.15
BUF,2008,BUF,2008020033,BUF,NYI,AWAY,20081013,Team Level,5on4,0.8311,0.6316,0.6923,751.0,6.567,1.432,0.727,1.106,0.252,3.635,1.847,1.216,1.432,1.216,8.0,1.0,3.0,12.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,7.0,0.0,0.0,5.0,0.0,0.0,2.0,6.0,0.0,3.0,0.062,0.0,1.37,0.0,0.0,2.0,12.0,9.0,9.0,0.0,0.199,0.0,0.0,1.631,1.631,1.41,2.911,0.291,0.18,0.307,0.073,0.921,2.228,0.291,0.291,0.291,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,6.0,10.0,6.0,2.0,0.0,2.0,2.0,0.0,0.056,0.234,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.043,0.0,0.0,0.333,0.333,0.333
