team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CBJ,2008,CBJ,2008020015,CBJ,DAL,AWAY,20081010,Team Level,other,0.2469,0.4737,0.4118,212.0,3.999,0.534,0.214,0.741,0.117,1.59,2.869,0.526,0.534,0.526,6.0,1.0,2.0,9.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,6.0,1.0,10.0,5.0,0.0,2.0,1.0,4.0,3.0,0.0,0.16,0.374,0.0,1.0,0.0,0.0,9.0,7.0,7.0,1.0,0.056,0.001,0.001,0.524,0.524,0.514,7.862,1.629,0.797,1.408,0.254,3.786,2.126,1.243,1.629,1.243,7.0,3.0,0.0,10.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,6.0,9.0,0.0,0.0,2.0,5.0,2.0,5.0,4.0,2.0,4.0,0.128,0.19,1.311,0.0,0.0,1.0,10.0,10.0,10.0,2.0,0.244,0.762,0.762,1.111,1.111,0.963
CBJ,2008,CBJ,2008020015,CBJ,DAL,AWAY,20081010,Team Level,all,0.4014,0.4078,0.4304,3879.0,24.425,2.347,1.859,5.178,0.718,11.972,10.991,2.262,2.477,2.387,27.0,7.0,8.0,42.0,5.0,3.0,0.0,5.0,0.0,12.0,9.0,22.0,29.0,10.0,31.0,35.0,26.0,10.0,12.0,24.0,7.0,3.0,0.677,0.929,0.742,2.0,1.0,2.0,43.434,34.0,35.088,10.0,0.419,0.429,0.429,2.273,2.4,2.369,31.611,3.5,2.496,6.896,1.027,18.847,12.234,3.082,3.459,3.042,31.0,14.0,16.0,61.0,4.0,2.0,1.0,4.0,0.0,22.0,13.0,27.0,41.0,5.0,13.0,27.0,28.0,11.0,22.0,29.0,11.0,5.0,0.831,1.157,1.512,1.0,1.0,2.0,59.656,45.0,44.382,6.0,0.615,0.762,0.762,3.353,3.304,3.117
CBJ,2008,CBJ,2008020015,CBJ,DAL,AWAY,20081010,Team Level,5on5,0.6161,0.45,0.5,2693.0,16.317,1.772,1.234,3.631,0.489,7.925,5.95,1.695,1.902,1.82,17.0,4.0,6.0,27.0,4.0,2.0,0.0,3.0,0.0,6.0,6.0,13.0,17.0,7.0,17.0,20.0,21.0,3.0,7.0,14.0,4.0,3.0,0.475,0.555,0.742,1.0,1.0,2.0,28.434,21.0,22.088,6.0,0.262,0.428,0.428,1.606,1.733,1.712,14.377,1.104,0.929,3.464,0.476,8.762,6.265,1.093,1.063,1.052,14.0,7.0,12.0,33.0,3.0,0.0,0.0,2.0,0.0,10.0,6.0,11.0,18.0,4.0,11.0,16.0,23.0,7.0,13.0,15.0,5.0,1.0,0.364,0.539,0.201,1.0,1.0,1.0,31.656,21.0,20.382,3.0,0.189,0.0,0.0,1.293,1.245,1.232
CBJ,2008,CBJ,2008020015,CBJ,DAL,AWAY,20081010,Team Level,4on5,0.0016,0.0556,0.0714,626.0,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.002,0.0,0.0,0.003,0.003,0.003,8.692,0.63,0.721,1.939,0.268,6.056,3.386,0.609,0.63,0.609,9.0,4.0,4.0,17.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,9.0,13.0,0.0,0.0,4.0,0.0,0.0,4.0,10.0,3.0,0.0,0.339,0.291,0.0,0.0,0.0,0.0,17.0,13.0,13.0,1.0,0.171,0.0,0.0,0.801,0.801,0.774
CBJ,2008,CBJ,2008020015,CBJ,DAL,AWAY,20081010,Team Level,5on4,0.226,0.8333,0.8333,348.0,3.809,0.04,0.401,0.797,0.102,2.447,1.213,0.04,0.04,0.04,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.1,0.0,0.0,0.14,0.14,0.14,0.679,0.137,0.049,0.085,0.028,0.244,0.457,0.137,0.137,0.137,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.011,0.0,0.0,0.148,0.148,0.148
CBJ,2008,CBJ,2008020027,CBJ,ARI,AWAY,20081011,Team Level,other,0.8573,0.625,0.6667,326.0,3.252,1.832,0.139,0.396,0.093,0.954,0.586,1.437,1.832,1.437,2.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.107,1.725,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.055,0.0,0.0,1.887,1.887,1.483,1.709,0.305,0.19,0.308,0.037,0.636,0.524,0.305,0.305,0.305,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.021,0.0,0.284,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.059,0.0,0.0,0.364,0.364,0.364
CBJ,2008,CBJ,2008020027,CBJ,ARI,AWAY,20081011,Team Level,all,0.6461,0.575,0.5556,3600.0,31.793,4.412,2.137,6.986,1.045,17.139,13.281,3.959,4.401,3.948,29.0,16.0,24.0,69.0,1.0,2.0,0.0,6.0,2.0,19.0,15.0,28.0,44.0,10.0,23.0,35.0,13.0,4.0,2.0,29.0,12.0,4.0,0.871,1.299,2.242,0.0,0.0,1.0,66.453,45.0,43.679,0.0,0.483,0.161,0.161,4.734,4.723,4.254,25.165,2.417,1.886,5.762,0.869,14.34,10.727,2.38,2.419,2.382,30.0,6.0,15.0,51.0,3.0,2.0,0.0,7.0,1.0,11.0,12.0,27.0,33.0,7.0,17.0,30.0,24.0,4.0,2.0,24.0,11.0,1.0,0.779,1.354,0.284,1.0,2.0,0.0,52.902,36.0,37.134,0.0,0.425,0.222,0.222,2.621,2.623,2.595
CBJ,2008,CBJ,2008020027,CBJ,ARI,AWAY,20081011,Team Level,5on5,0.5456,0.593,0.5667,2609.0,23.297,1.747,1.62,5.479,0.805,13.961,10.388,1.713,1.736,1.703,22.0,12.0,17.0,51.0,0.0,1.0,0.0,5.0,2.0,16.0,10.0,22.0,34.0,7.0,17.0,25.0,12.0,2.0,2.0,25.0,9.0,0.0,0.806,0.941,0.0,0.0,0.0,0.0,48.453,34.0,32.679,0.0,0.331,0.147,0.147,1.93,1.919,1.881,17.984,1.455,1.26,4.42,0.641,10.632,7.592,1.426,1.456,1.428,22.0,4.0,9.0,35.0,1.0,2.0,0.0,6.0,1.0,8.0,8.0,21.0,25.0,7.0,17.0,23.0,19.0,3.0,0.0,19.0,7.0,0.0,0.569,0.886,0.0,1.0,0.0,0.0,36.902,26.0,27.134,0.0,0.257,0.222,0.222,1.49,1.492,1.474
CBJ,2008,CBJ,2008020027,CBJ,ARI,AWAY,20081011,Team Level,4on5,0.3127,0.2941,0.3,456.0,2.197,0.293,0.117,0.316,0.06,0.72,1.493,0.278,0.293,0.278,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,4.0,6.0,0.0,2.0,0.0,1.0,2.0,0.0,0.042,0.251,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.025,0.0,0.0,0.318,0.318,0.302,4.783,0.644,0.413,0.923,0.169,2.842,2.009,0.636,0.644,0.636,5.0,2.0,5.0,12.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0,0.0,0.176,0.468,0.0,0.0,2.0,0.0,12.0,7.0,7.0,0.0,0.103,0.0,0.0,0.748,0.748,0.737
CBJ,2008,CBJ,2008020027,CBJ,ARI,AWAY,20081011,Team Level,5on4,0.9765,0.8889,0.8,209.0,3.047,0.54,0.261,0.794,0.087,1.504,0.814,0.53,0.54,0.53,4.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.023,0.0,0.517,0.0,0.0,1.0,8.0,4.0,4.0,0.0,0.072,0.014,0.014,0.598,0.598,0.588,0.691,0.013,0.023,0.111,0.021,0.23,0.602,0.013,0.013,0.013,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.019,0.019,0.019
