team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CHI,2008,CHI,2008020010,CHI,NYR,AWAY,20081010,Team Level,other,1.0,1.0,1.0,26.0,0.77,0.125,0.041,0.141,0.027,0.468,0.263,0.121,0.125,0.121,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.014,0.0,0.0,0.073,0.073,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHI,2008,CHI,2008020010,CHI,NYR,AWAY,20081010,Team Level,all,0.5877,0.5096,0.5357,3600.0,32.581,2.762,2.113,7.054,1.006,17.465,13.664,2.678,2.783,2.696,32.0,13.0,8.0,53.0,2.0,2.0,1.0,8.0,0.0,14.0,19.0,30.0,43.0,5.0,16.0,32.0,31.0,8.0,5.0,35.0,8.0,2.0,1.204,1.114,0.444,1.0,0.0,1.0,51.746,45.0,43.911,3.0,0.448,0.407,0.407,2.738,2.751,2.73,27.924,1.938,1.626,6.208,0.867,15.313,13.047,1.927,1.929,1.918,29.0,10.0,12.0,51.0,4.0,3.0,1.0,9.0,0.0,8.0,15.0,25.0,35.0,5.0,16.0,23.0,44.0,7.0,6.0,32.0,7.0,0.0,1.096,0.842,0.0,2.0,2.0,0.0,51.536,39.0,39.766,6.0,0.341,0.242,0.242,2.037,2.027,2.021
CHI,2008,CHI,2008020010,CHI,NYR,AWAY,20081010,Team Level,5on5,0.6397,0.5294,0.5588,2854.0,27.939,2.459,1.742,6.341,0.875,15.031,11.553,2.378,2.479,2.396,26.0,12.0,7.0,45.0,2.0,2.0,1.0,8.0,0.0,10.0,16.0,24.0,36.0,4.0,11.0,23.0,31.0,5.0,4.0,29.0,7.0,2.0,1.049,0.965,0.444,1.0,0.0,1.0,43.746,38.0,36.911,3.0,0.356,0.407,0.407,2.408,2.421,2.4,21.467,1.385,1.228,5.098,0.679,12.115,9.495,1.375,1.376,1.366,22.0,8.0,10.0,40.0,4.0,3.0,1.0,6.0,0.0,8.0,9.0,18.0,26.0,4.0,11.0,17.0,36.0,3.0,5.0,25.0,5.0,0.0,0.832,0.553,0.0,2.0,2.0,0.0,40.536,30.0,30.766,5.0,0.247,0.242,0.242,1.39,1.38,1.376
CHI,2008,CHI,2008020010,CHI,NYR,AWAY,20081010,Team Level,4on5,0.3732,0.2222,0.2857,360.0,1.794,0.156,0.105,0.151,0.045,0.389,1.153,0.156,0.156,0.156,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.007,0.149,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.023,0.0,0.0,0.179,0.179,0.179,3.395,0.262,0.249,0.724,0.111,2.318,1.336,0.261,0.262,0.261,5.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.16,0.102,0.0,0.0,0.0,0.0,7.0,5.0,5.0,1.0,0.059,0.0,0.0,0.322,0.322,0.32
CHI,2008,CHI,2008020010,CHI,NYR,AWAY,20081010,Team Level,5on4,0.0732,0.5,0.4286,360.0,2.078,0.023,0.226,0.42,0.059,1.576,0.696,0.023,0.023,0.023,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,5.0,6.0,0.0,2.0,1.0,3.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.055,0.0,0.0,0.078,0.078,0.078,3.062,0.291,0.15,0.386,0.077,0.88,2.216,0.291,0.291,0.291,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,1.0,5.0,3.0,6.0,2.0,0.0,3.0,1.0,0.0,0.103,0.187,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.035,0.0,0.0,0.325,0.325,0.325
CHI,2008,CHI,2008020020,CHI,WSH,AWAY,20081011,Team Level,other,1.0,1.0,1.0,73.0,1.484,0.437,0.125,0.236,0.048,0.855,0.299,0.413,0.437,0.413,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.066,0.0,0.371,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.044,0.371,0.371,0.109,0.109,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHI,2008,CHI,2008020020,CHI,WSH,AWAY,20081011,Team Level,all,0.4698,0.4434,0.45,3600.0,26.452,2.81,2.1,5.625,0.788,15.086,9.592,2.761,2.918,2.866,21.0,15.0,11.0,47.0,2.0,2.0,1.0,4.0,1.0,14.0,13.0,19.0,34.0,4.0,8.0,24.0,21.0,4.0,6.0,29.0,2.0,5.0,0.907,0.202,1.701,1.0,1.0,0.0,49.243,36.0,37.686,4.0,0.52,0.483,0.483,2.847,2.962,2.945,31.779,3.171,2.454,6.358,0.927,18.44,12.65,3.09,3.073,2.992,34.0,10.0,15.0,59.0,4.0,2.0,1.0,4.0,0.0,12.0,22.0,30.0,40.0,6.0,12.0,24.0,17.0,14.0,12.0,29.0,12.0,3.0,1.176,1.301,0.695,2.0,1.0,1.0,57.656,44.0,42.937,3.0,0.524,0.428,0.428,3.267,3.151,3.124
CHI,2008,CHI,2008020020,CHI,WSH,AWAY,20081011,Team Level,5on5,0.4073,0.4521,0.4364,2586.0,17.651,1.409,1.254,3.846,0.506,9.978,7.007,1.385,1.517,1.49,15.0,9.0,9.0,33.0,2.0,1.0,1.0,4.0,0.0,6.0,11.0,13.0,22.0,3.0,6.0,17.0,17.0,4.0,5.0,20.0,2.0,2.0,0.747,0.202,0.461,1.0,1.0,0.0,35.243,24.0,25.686,4.0,0.261,0.112,0.112,1.559,1.673,1.66,22.394,2.05,1.76,4.474,0.65,12.894,9.172,2.011,1.951,1.914,25.0,6.0,9.0,40.0,4.0,1.0,1.0,3.0,0.0,10.0,13.0,21.0,27.0,3.0,6.0,12.0,13.0,10.0,6.0,21.0,8.0,2.0,0.731,0.83,0.489,2.0,1.0,1.0,38.656,31.0,29.937,1.0,0.36,0.221,0.221,2.188,2.072,2.052
CHI,2008,CHI,2008020020,CHI,WSH,AWAY,20081011,Team Level,4on5,0.0,0.0526,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.653,1.082,0.67,1.736,0.255,5.264,2.994,1.039,1.082,1.039,8.0,4.0,6.0,18.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,8.0,12.0,0.0,0.0,5.0,0.0,2.0,3.0,7.0,4.0,1.0,0.405,0.47,0.206,0.0,0.0,0.0,18.0,12.0,12.0,0.0,0.157,0.206,0.206,1.032,1.032,1.025
CHI,2008,CHI,2008020020,CHI,WSH,AWAY,20081011,Team Level,5on4,0.9602,0.9167,0.9091,461.0,7.317,0.964,0.72,1.543,0.235,4.253,2.286,0.963,0.964,0.963,5.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,5.0,10.0,1.0,2.0,3.0,2.0,0.0,1.0,8.0,0.0,2.0,0.095,0.0,0.869,0.0,0.0,0.0,11.0,10.0,10.0,0.0,0.216,0.0,0.0,1.179,1.179,1.178,0.732,0.04,0.024,0.148,0.022,0.282,0.484,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.007,0.0,0.0,0.047,0.047,0.047
