team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2008,COL,2008020006,COL,BOS,HOME,20081009,Team Level,other,0.6115,0.8333,0.7778,184.0,4.942,0.875,0.579,1.013,0.196,3.361,0.976,0.659,0.875,0.659,6.0,1.0,3.0,10.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,6.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,0.199,0.212,0.464,0.0,0.0,0.0,10.0,7.0,7.0,0.0,0.173,0.218,0.218,0.83,0.83,0.687,1.155,0.556,0.077,0.136,0.04,0.834,0.357,0.556,0.556,0.556,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.062,0.0,0.494,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.023,0.0,0.0,0.579,0.579,0.579
COL,2008,COL,2008020006,COL,BOS,HOME,20081009,Team Level,all,0.578,0.6449,0.6267,3600.0,34.859,4.318,2.745,7.506,1.184,19.108,12.139,3.907,4.162,3.759,39.0,8.0,22.0,69.0,4.0,6.0,3.0,9.0,2.0,13.0,13.0,35.0,43.0,2.0,4.0,36.0,34.0,14.0,16.0,27.0,15.0,5.0,1.125,1.719,1.474,0.0,2.0,2.0,66.67,47.0,45.546,7.0,0.632,1.469,1.469,3.481,3.355,3.181,19.895,3.152,1.302,3.948,0.612,10.652,8.334,3.106,3.264,3.217,20.0,8.0,10.0,38.0,5.0,1.0,0.0,3.0,0.0,9.0,10.0,15.0,23.0,5.0,10.0,30.0,17.0,15.0,12.0,16.0,8.0,4.0,0.488,1.141,1.523,2.0,2.0,1.0,39.624,28.0,29.191,7.0,0.296,0.124,0.124,3.325,3.446,3.395
COL,2008,COL,2008020006,COL,BOS,HOME,20081009,Team Level,5on5,0.6508,0.6207,0.6167,3062.0,27.669,3.164,1.962,6.076,0.933,14.379,10.486,2.97,3.008,2.822,31.0,6.0,17.0,54.0,3.0,5.0,3.0,7.0,1.0,10.0,11.0,28.0,34.0,2.0,4.0,29.0,31.0,12.0,16.0,22.0,12.0,3.0,0.818,1.336,1.01,0.0,1.0,2.0,51.67,37.0,35.546,7.0,0.409,1.251,1.251,2.323,2.197,2.166,16.526,1.698,1.116,3.535,0.508,9.03,7.113,1.685,1.809,1.795,17.0,6.0,10.0,33.0,4.0,1.0,0.0,3.0,0.0,7.0,8.0,13.0,19.0,4.0,8.0,23.0,16.0,13.0,12.0,15.0,7.0,1.0,0.425,1.033,0.239,2.0,2.0,0.0,34.624,23.0,24.191,7.0,0.232,0.124,0.124,1.806,1.927,1.91
COL,2008,COL,2008020006,COL,BOS,HOME,20081009,Team Level,4on5,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.79,0.07,0.199,0.047,0.584,0.31,0.757,0.79,0.757,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.79,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.033,0.0,0.0,0.823,0.823,0.79
COL,2008,COL,2008020006,COL,BOS,HOME,20081009,Team Level,5on4,0.7202,0.8333,0.75,226.0,2.249,0.278,0.204,0.418,0.055,1.368,0.677,0.278,0.278,0.278,2.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.107,0.171,0.0,0.0,1.0,0.0,5.0,3.0,3.0,0.0,0.049,0.0,0.0,0.328,0.328,0.328,0.734,0.108,0.038,0.078,0.017,0.205,0.554,0.108,0.108,0.108,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.116,0.116,0.116
COL,2008,COL,2008020029,COL,EDM,AWAY,20081012,Team Level,other,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,2008,COL,2008020029,COL,EDM,AWAY,20081012,Team Level,all,0.6384,0.5941,0.6234,3600.0,36.11,2.879,2.479,8.62,1.281,18.67,14.07,2.747,2.946,2.809,33.0,15.0,12.0,60.0,2.0,4.0,1.0,8.0,0.0,18.0,16.0,31.0,46.0,5.0,16.0,36.0,16.0,7.0,13.0,36.0,9.0,3.0,0.976,1.053,0.85,1.0,1.0,0.0,60.396,48.0,48.069,5.0,0.545,0.709,0.709,2.716,2.774,2.735,21.31,1.631,1.297,4.622,0.641,11.531,9.278,1.61,1.612,1.59,19.0,10.0,12.0,41.0,3.0,1.0,0.0,7.0,0.0,5.0,13.0,16.0,26.0,5.0,14.0,14.0,15.0,9.0,21.0,20.0,8.0,1.0,0.498,0.857,0.276,1.0,1.0,1.0,40.54,29.0,28.876,11.0,0.278,0.042,0.042,1.867,1.844,1.819
COL,2008,COL,2008020029,COL,EDM,AWAY,20081012,Team Level,5on5,0.6825,0.5854,0.6167,2970.0,28.16,2.382,1.736,7.11,1.056,13.684,11.032,2.249,2.449,2.312,24.0,13.0,11.0,48.0,2.0,4.0,1.0,8.0,0.0,14.0,9.0,22.0,35.0,5.0,16.0,27.0,14.0,6.0,10.0,27.0,8.0,2.0,0.911,0.966,0.505,1.0,1.0,0.0,48.396,37.0,37.069,3.0,0.36,0.709,0.709,2.033,2.091,2.053,16.819,1.108,0.93,3.832,0.517,9.057,7.556,1.106,1.088,1.086,15.0,8.0,11.0,34.0,2.0,1.0,0.0,6.0,0.0,4.0,10.0,13.0,21.0,5.0,14.0,14.0,14.0,7.0,19.0,19.0,3.0,1.0,0.466,0.365,0.276,1.0,0.0,1.0,33.54,23.0,22.876,10.0,0.187,0.042,0.042,1.252,1.23,1.229
COL,2008,COL,2008020029,COL,EDM,AWAY,20081012,Team Level,4on5,0.1651,0.1429,0.1667,302.0,0.778,0.087,0.038,0.11,0.021,0.225,0.519,0.087,0.087,0.087,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.008,0.0,0.0,0.095,0.095,0.095,3.58,0.44,0.308,0.694,0.103,2.209,1.246,0.419,0.44,0.419,3.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.032,0.408,0.0,0.0,1.0,0.0,6.0,5.0,5.0,0.0,0.078,0.0,0.0,0.518,0.518,0.493
COL,2008,COL,2008020029,COL,EDM,AWAY,20081012,Team Level,5on4,0.8303,0.9091,0.9091,309.0,7.172,0.411,0.705,1.4,0.204,4.761,2.519,0.41,0.411,0.41,9.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,0.0,1.0,0.065,0.0,0.345,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.177,0.0,0.0,0.588,0.588,0.587,0.911,0.084,0.06,0.095,0.021,0.264,0.475,0.084,0.084,0.084,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.013,0.0,0.0,0.097,0.097,0.097
