team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DAL,2008,DAL,2008020015,DAL,CBJ,HOME,20081010,Team Level,other,0.7531,0.5263,0.5882,212.0,7.862,1.629,0.797,1.408,0.254,3.786,2.126,1.243,1.629,1.243,7.0,3.0,0.0,10.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,6.0,9.0,0.0,0.0,2.0,5.0,2.0,5.0,4.0,2.0,4.0,0.128,0.19,1.311,0.0,0.0,1.0,10.0,10.0,10.0,2.0,0.244,0.762,0.762,1.111,1.111,0.963,3.999,0.534,0.214,0.741,0.117,1.59,2.869,0.526,0.534,0.526,6.0,1.0,2.0,9.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,6.0,1.0,10.0,5.0,0.0,2.0,1.0,4.0,3.0,0.0,0.16,0.374,0.0,1.0,0.0,0.0,9.0,7.0,7.0,1.0,0.056,0.001,0.001,0.524,0.524,0.514
DAL,2008,DAL,2008020015,DAL,CBJ,HOME,20081010,Team Level,all,0.5986,0.5922,0.5696,3879.0,31.611,3.5,2.496,6.896,1.027,18.847,12.234,3.082,3.459,3.042,31.0,14.0,16.0,61.0,4.0,2.0,1.0,4.0,0.0,22.0,13.0,27.0,41.0,5.0,13.0,27.0,28.0,11.0,22.0,29.0,11.0,5.0,0.831,1.157,1.512,1.0,1.0,2.0,59.656,45.0,44.382,6.0,0.615,0.762,0.762,3.353,3.304,3.117,24.425,2.347,1.859,5.178,0.718,11.972,10.991,2.262,2.477,2.387,27.0,7.0,8.0,42.0,5.0,3.0,0.0,5.0,0.0,12.0,9.0,22.0,29.0,10.0,31.0,35.0,26.0,10.0,12.0,24.0,7.0,3.0,0.677,0.929,0.742,2.0,1.0,2.0,43.434,34.0,35.088,10.0,0.419,0.429,0.429,2.273,2.4,2.369
DAL,2008,DAL,2008020015,DAL,CBJ,HOME,20081010,Team Level,5on5,0.3839,0.55,0.5,2693.0,14.377,1.104,0.929,3.464,0.476,8.762,6.265,1.093,1.063,1.052,14.0,7.0,12.0,33.0,3.0,0.0,0.0,2.0,0.0,10.0,6.0,11.0,18.0,4.0,11.0,16.0,23.0,7.0,13.0,15.0,5.0,1.0,0.364,0.539,0.201,1.0,1.0,1.0,31.656,21.0,20.382,3.0,0.189,0.0,0.0,1.293,1.245,1.232,16.317,1.772,1.234,3.631,0.489,7.925,5.95,1.695,1.902,1.82,17.0,4.0,6.0,27.0,4.0,2.0,0.0,3.0,0.0,6.0,6.0,13.0,17.0,7.0,17.0,20.0,21.0,3.0,7.0,14.0,4.0,3.0,0.475,0.555,0.742,1.0,1.0,2.0,28.434,21.0,22.088,6.0,0.262,0.428,0.428,1.606,1.733,1.712
DAL,2008,DAL,2008020015,DAL,CBJ,HOME,20081010,Team Level,4on5,0.774,0.1667,0.1667,348.0,0.679,0.137,0.049,0.085,0.028,0.244,0.457,0.137,0.137,0.137,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.011,0.0,0.0,0.148,0.148,0.148,3.809,0.04,0.401,0.797,0.102,2.447,1.213,0.04,0.04,0.04,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.1,0.0,0.0,0.14,0.14,0.14
DAL,2008,DAL,2008020015,DAL,CBJ,HOME,20081010,Team Level,5on4,0.9984,0.9444,0.9286,626.0,8.692,0.63,0.721,1.939,0.268,6.056,3.386,0.609,0.63,0.609,9.0,4.0,4.0,17.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,9.0,13.0,0.0,0.0,4.0,0.0,0.0,4.0,10.0,3.0,0.0,0.339,0.291,0.0,0.0,0.0,0.0,17.0,13.0,13.0,1.0,0.171,0.0,0.0,0.801,0.801,0.774,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.002,0.0,0.0,0.003,0.003,0.003
DAL,2008,DAL,2008020024,DAL,NSH,AWAY,20081011,Team Level,other,0.4506,0.375,0.4,213.0,1.415,0.146,0.091,0.337,0.041,0.88,0.504,0.144,0.146,0.144,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.048,0.098,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.029,0.0,0.0,0.175,0.175,0.172,1.771,0.178,0.145,0.368,0.091,1.484,0.734,0.177,0.178,0.177,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.053,0.125,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.04,0.0,0.0,0.217,0.217,0.216
DAL,2008,DAL,2008020024,DAL,NSH,AWAY,20081011,Team Level,all,0.3557,0.3905,0.4051,3600.0,21.897,2.066,1.402,5.109,0.744,12.956,9.723,1.868,2.074,1.876,20.0,12.0,9.0,41.0,1.0,0.0,0.0,3.0,1.0,13.0,14.0,19.0,31.0,13.0,48.0,26.0,10.0,9.0,3.0,24.0,6.0,2.0,0.598,0.612,0.856,1.0,0.0,0.0,40.386,32.0,31.352,1.0,0.332,0.0,0.0,2.399,2.408,2.196,33.774,3.743,2.576,7.397,1.151,18.297,13.836,3.616,3.738,3.611,32.0,15.0,17.0,64.0,3.0,5.0,1.0,5.0,0.0,10.0,24.0,29.0,44.0,10.0,34.0,30.0,17.0,8.0,3.0,34.0,8.0,5.0,1.147,1.059,1.537,0.0,0.0,3.0,64.876,47.0,48.011,0.0,0.59,1.036,1.036,3.296,3.292,3.213
DAL,2008,DAL,2008020024,DAL,NSH,AWAY,20081011,Team Level,5on5,0.3283,0.4328,0.4717,2317.0,16.632,1.015,1.069,4.074,0.599,10.036,8.208,1.001,1.023,1.009,14.0,11.0,4.0,29.0,1.0,0.0,0.0,3.0,1.0,9.0,11.0,13.0,24.0,10.0,42.0,13.0,9.0,7.0,2.0,20.0,5.0,0.0,0.5,0.514,0.0,1.0,0.0,0.0,28.386,25.0,24.352,0.0,0.216,0.0,0.0,1.231,1.241,1.224,20.157,2.077,1.305,4.468,0.654,11.099,8.396,2.016,2.073,2.011,20.0,8.0,10.0,38.0,1.0,3.0,1.0,3.0,0.0,3.0,18.0,19.0,27.0,8.0,30.0,17.0,16.0,5.0,1.0,22.0,3.0,3.0,0.708,0.385,0.985,0.0,0.0,1.0,38.876,28.0,29.011,0.0,0.267,0.81,0.81,1.534,1.53,1.492
DAL,2008,DAL,2008020024,DAL,NSH,AWAY,20081011,Team Level,4on5,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.835,1.425,1.056,2.256,0.349,4.979,2.934,1.361,1.425,1.361,10.0,3.0,4.0,17.0,2.0,2.0,0.0,2.0,0.0,3.0,4.0,8.0,11.0,0.0,0.0,3.0,0.0,1.0,2.0,7.0,4.0,2.0,0.323,0.55,0.552,0.0,0.0,2.0,17.0,13.0,13.0,0.0,0.266,0.226,0.226,1.465,1.465,1.425
DAL,2008,DAL,2008020024,DAL,NSH,AWAY,20081011,Team Level,5on4,0.935,0.6923,0.625,511.0,3.849,0.906,0.242,0.698,0.104,2.039,1.011,0.723,0.906,0.723,4.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,0.05,0.0,0.856,0.0,0.0,0.0,9.0,5.0,5.0,0.0,0.087,0.0,0.0,0.993,0.993,0.799,2.011,0.063,0.07,0.304,0.057,0.735,1.772,0.063,0.063,0.063,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,4.0,6.0,1.0,2.0,0.0,3.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.017,0.0,0.0,0.08,0.08,0.08
