team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DET,2008,DET,2008020005,DET,TOR,HOME,20081009,Team Level,other,1.0,1.0,1.0,50.0,0.544,0.191,0.07,0.084,0.039,0.556,0.125,0.191,0.191,0.191,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.065,0.125,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.018,0.0,0.0,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DET,2008,DET,2008020005,DET,TOR,HOME,20081009,Team Level,all,0.4454,0.5882,0.5976,3600.0,34.598,2.596,2.225,8.083,1.133,19.544,14.485,2.499,2.483,2.388,37.0,12.0,11.0,60.0,2.0,1.0,1.0,8.0,0.0,15.0,23.0,35.0,47.0,2.0,4.0,38.0,19.0,6.0,19.0,42.0,5.0,2.0,1.51,0.529,0.556,0.0,1.0,1.0,56.641,49.0,46.445,13.0,0.472,0.337,0.337,2.666,2.53,2.484,25.436,3.232,1.554,5.442,0.793,12.26,9.72,3.187,3.454,3.406,29.0,4.0,9.0,42.0,3.0,1.0,1.0,9.0,0.0,5.0,15.0,26.0,30.0,3.0,6.0,21.0,17.0,6.0,5.0,21.0,7.0,5.0,0.695,0.804,1.732,0.0,0.0,3.0,44.951,33.0,35.234,1.0,0.338,0.34,0.34,3.23,3.436,3.42
DET,2008,DET,2008020005,DET,TOR,HOME,20081009,Team Level,5on5,0.3996,0.5682,0.5857,3197.0,29.569,1.725,1.769,7.161,0.933,16.592,12.819,1.697,1.613,1.586,31.0,10.0,9.0,50.0,1.0,0.0,0.0,6.0,0.0,13.0,21.0,30.0,40.0,2.0,4.0,34.0,19.0,6.0,17.0,37.0,3.0,1.0,1.21,0.295,0.22,0.0,1.0,0.0,46.641,41.0,38.445,11.0,0.359,0.0,0.0,2.084,1.948,1.916,22.253,2.592,1.339,4.793,0.692,10.704,8.879,2.548,2.815,2.766,25.0,4.0,9.0,38.0,2.0,1.0,1.0,7.0,0.0,5.0,14.0,23.0,27.0,3.0,6.0,14.0,15.0,6.0,4.0,18.0,7.0,4.0,0.665,0.804,1.123,0.0,0.0,2.0,40.951,29.0,31.234,0.0,0.28,0.34,0.34,2.533,2.739,2.723
DET,2008,DET,2008020005,DET,TOR,HOME,20081009,Team Level,4on5,0.0644,0.2,0.2,196.0,0.745,0.044,0.034,0.109,0.019,0.257,0.538,0.044,0.044,0.044,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.008,0.0,0.0,0.051,0.051,0.051,3.183,0.639,0.214,0.649,0.101,1.556,0.841,0.639,0.639,0.639,4.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.03,0.0,0.609,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.058,0.0,0.0,0.697,0.697,0.697
DET,2008,DET,2008020005,DET,TOR,HOME,20081009,Team Level,5on4,1.0,1.0,1.0,157.0,3.739,0.636,0.351,0.729,0.142,2.139,1.003,0.568,0.636,0.568,4.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.191,0.109,0.337,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.087,0.337,0.337,0.387,0.387,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DET,2008,DET,2008020017,DET,OTT,AWAY,20081011,Team Level,other,0.5693,0.6,0.5714,342.0,2.537,0.501,0.148,0.424,0.081,1.421,1.424,0.501,0.501,0.501,3.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,2.0,7.0,1.0,0.0,1.0,3.0,0.0,1.0,0.066,0.0,0.435,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.044,0.0,0.0,0.545,0.545,0.545,2.144,0.379,0.154,0.384,0.07,1.428,0.584,0.366,0.379,0.366,3.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.379,0.0,0.0,2.0,0.0,4.0,3.0,3.0,0.0,0.045,0.0,0.0,0.425,0.425,0.408
DET,2008,DET,2008020017,DET,OTT,AWAY,20081011,Team Level,all,0.623,0.6471,0.6463,3600.0,36.208,2.832,2.194,8.324,1.121,21.147,17.382,2.811,2.9,2.878,41.0,12.0,13.0,66.0,3.0,0.0,0.0,9.0,2.0,21.0,18.0,38.0,50.0,6.0,12.0,34.0,18.0,11.0,4.0,44.0,6.0,3.0,1.145,0.605,1.081,3.0,0.0,0.0,66.93,53.0,53.557,2.0,0.474,0.0,0.0,3.306,3.388,3.356,21.183,1.714,1.297,4.314,0.652,11.676,9.347,1.674,1.696,1.656,22.0,7.0,7.0,36.0,2.0,1.0,0.0,5.0,0.0,10.0,11.0,20.0,27.0,6.0,12.0,26.0,27.0,11.0,16.0,21.0,7.0,1.0,0.655,0.842,0.218,0.0,2.0,0.0,35.59,29.0,28.789,12.0,0.306,0.218,0.218,1.803,1.78,1.755
DET,2008,DET,2008020017,DET,OTT,AWAY,20081011,Team Level,5on5,0.6984,0.6849,0.6885,2632.0,29.493,1.841,1.762,7.153,0.905,17.176,13.162,1.822,1.909,1.889,33.0,9.0,8.0,50.0,3.0,0.0,0.0,7.0,1.0,18.0,13.0,30.0,39.0,3.0,6.0,20.0,11.0,9.0,1.0,35.0,6.0,1.0,1.018,0.605,0.218,3.0,0.0,0.0,50.93,42.0,42.557,1.0,0.356,0.0,0.0,2.197,2.278,2.255,14.085,0.795,0.767,3.114,0.405,7.517,6.402,0.774,0.777,0.755,14.0,5.0,4.0,23.0,0.0,1.0,0.0,4.0,0.0,6.0,8.0,14.0,19.0,2.0,4.0,18.0,25.0,9.0,10.0,17.0,1.0,1.0,0.485,0.093,0.218,0.0,0.0,0.0,22.59,19.0,18.789,8.0,0.156,0.218,0.218,0.733,0.71,0.707
DET,2008,DET,2008020017,DET,OTT,AWAY,20081011,Team Level,4on5,0.0859,0.25,0.3333,319.0,1.044,0.033,0.025,0.131,0.031,0.229,1.55,0.033,0.033,0.033,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,4.0,6.0,2.0,1.0,2.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.006,0.0,0.0,0.039,0.039,0.039,2.641,0.351,0.237,0.432,0.103,1.982,0.895,0.351,0.351,0.351,3.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.127,0.224,0.0,0.0,0.0,0.0,6.0,4.0,4.0,1.0,0.072,0.0,0.0,0.423,0.423,0.423
DET,2008,DET,2008020017,DET,OTT,AWAY,20081011,Team Level,5on4,0.707,0.7273,0.625,307.0,3.134,0.456,0.259,0.615,0.103,2.321,1.246,0.454,0.456,0.454,4.0,1.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,0.028,0.0,0.428,0.0,0.0,0.0,8.0,5.0,5.0,0.0,0.069,0.0,0.0,0.525,0.525,0.518,2.313,0.189,0.139,0.383,0.074,0.749,1.465,0.184,0.189,0.184,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,3.0,2.0,1.0,0.0,0.043,0.146,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.033,0.0,0.0,0.222,0.222,0.217
