team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,2008,FLA,2008020011,FLA,CAR,AWAY,20081010,Team Level,other,0.6482,0.5,0.3333,67.0,0.897,0.75,0.025,0.042,0.019,0.12,0.044,0.75,0.75,0.75,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.015,0.0,0.0,0.765,0.765,0.765,0.968,0.407,0.071,0.122,0.053,0.81,0.537,0.407,0.407,0.407,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.029,0.0,0.377,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.018,0.0,0.0,0.425,0.425,0.425
FLA,2008,FLA,2008020011,FLA,CAR,AWAY,20081010,Team Level,all,0.5608,0.5703,0.5568,3600.0,35.628,3.802,2.316,8.514,1.146,18.371,13.916,3.743,3.893,3.83,33.0,16.0,24.0,73.0,4.0,6.0,1.0,3.0,4.0,11.0,21.0,29.0,45.0,4.0,8.0,31.0,27.0,3.0,2.0,37.0,8.0,4.0,1.022,0.989,1.792,0.0,2.0,2.0,73.645,49.0,49.514,1.0,0.517,0.863,0.863,3.39,3.467,3.446,26.332,2.978,1.984,5.941,0.941,15.619,11.537,2.913,2.938,2.873,24.0,15.0,16.0,55.0,6.0,3.0,2.0,4.0,0.0,9.0,17.0,18.0,33.0,6.0,12.0,33.0,25.0,10.0,9.0,28.0,8.0,3.0,1.046,0.996,0.936,2.0,2.0,2.0,55.004,39.0,39.178,4.0,0.426,0.631,0.631,2.773,2.723,2.704
FLA,2008,FLA,2008020011,FLA,CAR,AWAY,20081010,Team Level,5on5,0.5477,0.5464,0.5441,2603.0,27.077,2.297,1.698,6.676,0.904,14.343,11.08,2.242,2.388,2.329,24.0,13.0,16.0,53.0,2.0,5.0,1.0,2.0,3.0,10.0,15.0,22.0,35.0,4.0,8.0,24.0,22.0,2.0,1.0,27.0,8.0,2.0,0.752,0.989,0.556,0.0,2.0,0.0,53.645,37.0,37.514,0.0,0.344,0.787,0.787,1.855,1.931,1.914,22.068,1.897,1.583,5.155,0.714,12.629,9.022,1.876,1.857,1.836,19.0,12.0,13.0,44.0,3.0,2.0,1.0,4.0,0.0,7.0,15.0,16.0,28.0,5.0,10.0,26.0,21.0,7.0,6.0,24.0,6.0,1.0,0.934,0.721,0.241,2.0,1.0,0.0,44.004,31.0,31.178,4.0,0.326,0.314,0.314,1.909,1.859,1.844
FLA,2008,FLA,2008020011,FLA,CAR,AWAY,20081010,Team Level,4on5,0.1405,0.2,0.2857,323.0,0.727,0.11,0.021,0.111,0.02,0.238,0.565,0.11,0.11,0.11,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.005,0.0,0.0,0.05,0.05,0.05,2.995,0.673,0.32,0.654,0.164,2.17,1.019,0.629,0.673,0.629,3.0,2.0,3.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,0.081,0.275,0.317,0.0,1.0,1.0,8.0,5.0,5.0,0.0,0.08,0.317,0.317,0.436,0.436,0.432
FLA,2008,FLA,2008020011,FLA,CAR,AWAY,20081010,Team Level,5on4,0.9985,0.9412,0.9,607.0,6.927,0.645,0.572,1.684,0.203,3.67,2.226,0.641,0.645,0.641,6.0,3.0,7.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,5.0,8.0,0.0,0.0,5.0,2.0,0.0,1.0,8.0,0.0,1.0,0.159,0.0,0.485,0.0,0.0,1.0,16.0,9.0,9.0,1.0,0.153,0.077,0.077,0.721,0.721,0.717,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,0.003,0.003,0.003
FLA,2008,FLA,2008020021,FLA,ATL,HOME,20081011,Team Level,other,0.3263,0.4667,0.5,450.0,4.319,0.388,0.281,0.867,0.129,2.06,2.341,0.38,0.388,0.38,6.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,1.0,2.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,0.223,0.165,0.0,1.0,0.0,0.0,7.0,7.0,7.0,0.0,0.067,0.0,0.0,0.39,0.39,0.387,4.779,0.801,0.482,0.844,0.171,3.529,1.172,0.801,0.801,0.801,5.0,2.0,1.0,8.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,6.0,0.0,0.0,8.0,2.0,0.0,0.0,4.0,1.0,2.0,0.033,0.125,0.643,0.0,1.0,0.0,8.0,7.0,7.0,0.0,0.187,0.0,0.0,0.988,0.988,0.987
FLA,2008,FLA,2008020021,FLA,ATL,HOME,20081011,Team Level,all,0.4774,0.5648,0.5604,3834.0,34.527,2.735,2.416,7.19,1.125,20.753,15.847,2.684,2.685,2.636,39.0,12.0,10.0,61.0,3.0,0.0,0.0,10.0,2.0,14.0,22.0,36.0,48.0,7.0,17.0,34.0,24.0,3.0,2.0,35.0,16.0,0.0,1.047,1.687,0.0,1.0,2.0,0.0,60.373,51.0,50.485,1.0,0.538,0.0,0.0,3.208,3.149,3.095,28.872,2.994,2.102,5.595,0.873,16.355,12.081,2.948,3.027,2.979,33.0,7.0,7.0,47.0,2.0,1.0,0.0,10.0,0.0,9.0,18.0,31.0,38.0,7.0,17.0,32.0,16.0,4.0,3.0,30.0,6.0,4.0,0.683,0.752,1.558,0.0,2.0,0.0,47.212,40.0,40.034,1.0,0.556,0.171,0.171,3.378,3.409,3.345
FLA,2008,FLA,2008020021,FLA,ATL,HOME,20081011,Team Level,5on5,0.5148,0.5484,0.5455,2470.0,20.447,1.283,1.232,4.663,0.685,12.789,9.347,1.259,1.234,1.211,25.0,5.0,4.0,34.0,2.0,0.0,0.0,8.0,0.0,5.0,15.0,23.0,28.0,5.0,13.0,21.0,18.0,3.0,2.0,22.0,8.0,0.0,0.529,0.754,0.0,0.0,2.0,0.0,33.373,30.0,29.485,1.0,0.247,0.0,0.0,1.53,1.472,1.445,18.18,1.209,1.167,3.862,0.544,9.763,8.455,1.175,1.242,1.206,22.0,3.0,3.0,28.0,1.0,1.0,0.0,5.0,0.0,6.0,12.0,21.0,24.0,7.0,17.0,19.0,12.0,2.0,2.0,20.0,5.0,0.0,0.582,0.627,0.0,0.0,1.0,0.0,28.212,25.0,25.034,1.0,0.241,0.171,0.171,1.278,1.309,1.279
FLA,2008,FLA,2008020021,FLA,ATL,HOME,20081011,Team Level,4on5,0.0308,0.1667,0.2222,314.0,1.364,0.031,0.044,0.134,0.029,0.487,1.275,0.031,0.031,0.031,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.009,0.0,0.0,0.04,0.04,0.04,5.166,0.974,0.433,0.778,0.141,2.819,1.855,0.962,0.974,0.962,6.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,2.0,0.059,0.0,0.915,0.0,0.0,0.0,10.0,7.0,7.0,0.0,0.123,0.0,0.0,1.097,1.097,1.064
FLA,2008,FLA,2008020021,FLA,ATL,HOME,20081011,Team Level,5on4,0.9904,0.9474,0.9231,600.0,8.397,1.032,0.86,1.526,0.282,5.416,2.884,1.014,1.032,1.014,7.0,5.0,6.0,18.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,7.0,12.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,6.0,0.0,0.264,0.769,0.0,0.0,0.0,0.0,18.0,12.0,12.0,0.0,0.215,0.0,0.0,1.248,1.248,1.223,0.746,0.01,0.02,0.111,0.017,0.244,0.598,0.01,0.01,0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.015,0.015,0.015
