team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
L.A,2008,L.A,2008020028,L.A,S.J,AWAY,20081011,Team Level,other,0.0,0.5,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.027,0.05,0.124,0.019,0.538,0.242,0.027,0.027,0.027,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.012,0.0,0.0,0.04,0.04,0.04
L.A,2008,L.A,2008020028,L.A,S.J,AWAY,20081011,Team Level,all,0.2693,0.3301,0.2658,3600.0,15.077,1.746,1.032,2.946,0.467,7.908,6.9,1.744,1.77,1.767,13.0,8.0,13.0,34.0,1.0,0.0,0.0,3.0,0.0,7.0,10.0,12.0,20.0,6.0,12.0,22.0,24.0,3.0,7.0,14.0,6.0,1.0,0.362,0.812,0.572,0.0,0.0,1.0,33.861,21.0,21.08,2.0,0.229,0.0,0.0,1.976,2.003,1.997,42.489,4.737,3.503,9.034,1.236,23.685,15.805,4.556,4.59,4.412,41.0,17.0,11.0,69.0,3.0,5.0,1.0,7.0,0.0,21.0,22.0,38.0,55.0,4.0,8.0,30.0,24.0,11.0,11.0,39.0,12.0,7.0,1.458,1.304,1.975,1.0,1.0,1.0,67.475,58.0,56.741,3.0,0.773,1.324,1.324,4.186,4.076,3.957
L.A,2008,L.A,2008020028,L.A,S.J,AWAY,20081011,Team Level,5on5,0.2568,0.3562,0.283,2489.0,10.797,1.038,0.672,2.299,0.351,5.718,4.922,1.037,1.061,1.06,8.0,7.0,11.0,26.0,0.0,0.0,0.0,3.0,0.0,5.0,7.0,8.0,15.0,6.0,12.0,14.0,19.0,3.0,6.0,10.0,5.0,0.0,0.331,0.707,0.0,0.0,0.0,0.0,25.861,15.0,15.08,1.0,0.137,0.0,0.0,1.175,1.203,1.201,28.062,3.004,2.174,6.129,0.809,15.076,10.808,2.948,2.857,2.804,30.0,8.0,9.0,47.0,2.0,4.0,1.0,5.0,0.0,14.0,13.0,28.0,36.0,3.0,6.0,20.0,19.0,7.0,9.0,26.0,7.0,5.0,0.872,0.714,1.417,0.0,1.0,1.0,45.475,38.0,36.741,3.0,0.451,1.009,1.009,2.446,2.336,2.318
L.A,2008,L.A,2008020028,L.A,S.J,AWAY,20081011,Team Level,4on5,0.0605,0.0476,0.0526,629.0,0.548,0.106,0.033,0.056,0.029,0.241,0.535,0.106,0.106,0.106,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.114,0.114,0.114,12.951,1.647,1.249,2.686,0.391,7.861,4.167,1.522,1.647,1.522,10.0,8.0,2.0,20.0,0.0,1.0,0.0,2.0,0.0,6.0,9.0,10.0,18.0,1.0,2.0,5.0,1.0,1.0,2.0,11.0,5.0,2.0,0.5,0.589,0.558,0.0,0.0,0.0,20.0,18.0,18.0,0.0,0.303,0.315,0.315,1.635,1.635,1.534
L.A,2008,L.A,2008020028,L.A,S.J,AWAY,20081011,Team Level,5on4,0.9109,0.8571,0.8333,398.0,3.732,0.603,0.327,0.59,0.088,1.949,1.443,0.601,0.603,0.601,4.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,0.031,0.0,0.572,0.0,0.0,1.0,6.0,5.0,5.0,1.0,0.084,0.0,0.0,0.687,0.687,0.683,0.739,0.059,0.031,0.095,0.016,0.21,0.589,0.059,0.059,0.059,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.059,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.066,0.066,0.066
L.A,2008,L.A,2008020031,L.A,S.J,HOME,20081012,Team Level,other,0.3158,0.5,0.5,70.0,0.701,0.03,0.036,0.131,0.024,0.524,0.255,0.03,0.03,0.03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.009,0.0,0.0,0.039,0.039,0.039,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.065,0.065,0.065,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.A,2008,L.A,2008020031,L.A,S.J,HOME,20081012,Team Level,all,0.5438,0.4712,0.4615,3600.0,25.865,2.047,1.864,5.756,0.796,14.701,10.836,1.984,2.001,1.939,21.0,15.0,13.0,49.0,0.0,2.0,0.0,5.0,0.0,10.0,19.0,21.0,36.0,3.0,6.0,22.0,25.0,4.0,18.0,29.0,5.0,2.0,0.852,0.629,0.566,0.0,0.0,0.0,47.185,36.0,34.818,6.0,0.413,0.566,0.566,1.894,1.837,1.809,29.295,1.717,2.118,6.966,0.95,16.754,12.56,1.669,1.814,1.764,19.0,23.0,13.0,55.0,1.0,2.0,0.0,4.0,0.0,17.0,18.0,18.0,41.0,5.0,10.0,25.0,16.0,2.0,6.0,35.0,7.0,0.0,0.859,0.858,0.0,1.0,0.0,0.0,57.583,42.0,43.745,4.0,0.455,0.252,0.252,1.854,1.958,1.906
L.A,2008,L.A,2008020031,L.A,S.J,HOME,20081012,Team Level,5on5,0.3362,0.4342,0.4074,2570.0,15.469,0.793,0.98,3.806,0.496,9.224,6.702,0.792,0.747,0.747,12.0,10.0,11.0,33.0,0.0,0.0,0.0,2.0,0.0,8.0,12.0,12.0,22.0,3.0,6.0,14.0,21.0,3.0,11.0,20.0,2.0,0.0,0.535,0.258,0.0,0.0,0.0,0.0,31.185,22.0,20.818,5.0,0.2,0.0,0.0,0.992,0.935,0.934,22.959,1.566,1.503,5.636,0.748,12.839,9.707,1.521,1.663,1.615,15.0,17.0,11.0,43.0,1.0,1.0,0.0,3.0,0.0,16.0,11.0,14.0,31.0,5.0,10.0,16.0,16.0,1.0,5.0,25.0,7.0,0.0,0.708,0.858,0.0,1.0,0.0,0.0,45.583,32.0,33.745,3.0,0.304,0.091,0.252,1.618,1.721,1.679
L.A,2008,L.A,2008020031,L.A,S.J,HOME,20081012,Team Level,4on5,0.7908,0.2857,0.3077,360.0,3.082,0.325,0.206,0.555,0.089,0.893,1.933,0.317,0.325,0.317,2.0,2.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,0.105,0.0,0.22,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.047,0.22,0.22,0.152,0.152,0.151,6.336,0.086,0.615,1.33,0.201,3.915,2.853,0.083,0.086,0.083,4.0,5.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,4.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,0.0,0.151,0.161,0.0,0.236,0.236,0.228
L.A,2008,L.A,2008020031,L.A,S.J,HOME,20081012,Team Level,5on4,1.0,0.9167,1.0,600.0,6.612,0.9,0.642,1.264,0.187,4.06,1.946,0.846,0.9,0.846,6.0,3.0,2.0,11.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,6.0,9.0,0.0,0.0,6.0,1.0,1.0,7.0,5.0,3.0,1.0,0.182,0.371,0.346,0.0,0.0,0.0,11.0,9.0,9.0,1.0,0.158,0.346,0.346,0.711,0.711,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
