team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2008,MIN,2008020025,MIN,BOS,HOME,20081011,Team Level,other,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.065,0.065,0.065,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,2008,MIN,2008020025,MIN,BOS,HOME,20081011,Team Level,all,0.4946,0.4112,0.4091,3600.0,25.812,2.077,1.937,5.413,0.797,15.08,10.696,2.045,2.049,2.018,26.0,10.0,8.0,44.0,4.0,1.0,0.0,5.0,0.0,17.0,9.0,22.0,32.0,5.0,12.0,19.0,15.0,12.0,8.0,28.0,7.0,1.0,0.988,0.795,0.294,2.0,2.0,0.0,45.415,36.0,36.476,2.0,0.407,0.294,0.294,2.19,2.171,2.151,36.831,2.122,2.379,9.328,1.134,20.892,15.211,2.01,2.129,2.02,37.0,15.0,11.0,63.0,3.0,3.0,0.0,8.0,1.0,18.0,19.0,34.0,49.0,5.0,10.0,32.0,16.0,10.0,8.0,47.0,3.0,2.0,1.178,0.36,0.584,3.0,0.0,0.0,60.76,52.0,51.568,4.0,0.517,0.732,0.732,1.841,1.839,1.819
MIN,2008,MIN,2008020025,MIN,BOS,HOME,20081011,Team Level,5on5,0.471,0.4048,0.4286,2872.0,21.488,1.703,1.523,4.658,0.676,12.238,9.202,1.677,1.675,1.65,21.0,9.0,4.0,34.0,2.0,1.0,0.0,5.0,0.0,14.0,8.0,19.0,28.0,5.0,12.0,15.0,13.0,9.0,8.0,24.0,5.0,1.0,0.806,0.603,0.294,1.0,1.0,0.0,35.415,30.0,30.476,2.0,0.313,0.294,0.294,1.722,1.703,1.691,29.067,1.913,1.753,7.609,0.91,15.919,11.895,1.804,1.921,1.814,29.0,11.0,10.0,50.0,3.0,3.0,0.0,6.0,0.0,12.0,16.0,26.0,37.0,5.0,10.0,24.0,14.0,8.0,7.0,35.0,3.0,2.0,0.97,0.36,0.584,3.0,0.0,0.0,47.76,40.0,39.568,3.0,0.361,0.732,0.732,1.542,1.541,1.524
MIN,2008,MIN,2008020025,MIN,BOS,HOME,20081011,Team Level,4on5,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,0.115,0.604,1.607,0.204,4.699,2.773,0.113,0.115,0.113,7.0,3.0,1.0,11.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,7.0,10.0,0.0,0.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,0.0,0.149,0.0,0.0,0.264,0.264,0.261
MIN,2008,MIN,2008020025,MIN,BOS,HOME,20081011,Team Level,5on4,0.9303,0.9091,0.8571,324.0,4.324,0.374,0.414,0.755,0.12,2.842,1.494,0.367,0.374,0.367,5.0,1.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.182,0.192,0.0,1.0,1.0,0.0,10.0,6.0,6.0,0.0,0.094,0.0,0.0,0.468,0.468,0.459,0.724,0.028,0.022,0.113,0.02,0.274,0.543,0.028,0.028,0.028,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.007,0.0,0.0,0.035,0.035,0.035
MIN,2008,MIN,2008020040,MIN,ATL,AWAY,20081014,Team Level,other,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.123,0.117,0.263,0.04,1.025,0.498,0.121,0.123,0.121,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.03,0.0,0.0,0.087,0.087,0.087
MIN,2008,MIN,2008020040,MIN,ATL,AWAY,20081014,Team Level,all,0.5146,0.4632,0.4557,3600.0,26.066,1.78,1.891,5.969,0.798,14.73,10.833,1.775,1.856,1.851,26.0,10.0,8.0,44.0,4.0,2.0,0.0,7.0,0.0,11.0,12.0,22.0,32.0,4.0,8.0,34.0,10.0,9.0,4.0,31.0,4.0,1.0,0.671,0.444,0.664,1.0,2.0,1.0,45.928,36.0,37.439,1.0,0.459,0.131,0.131,2.107,2.196,2.187,29.683,1.679,1.798,7.447,0.897,17.378,12.868,1.662,1.599,1.583,26.0,17.0,8.0,51.0,2.0,1.0,0.0,11.0,2.0,13.0,14.0,24.0,41.0,5.0,10.0,25.0,6.0,4.0,3.0,39.0,3.0,1.0,1.073,0.38,0.226,2.0,0.0,0.0,49.083,43.0,41.252,1.0,0.389,0.226,0.226,1.777,1.701,1.686
MIN,2008,MIN,2008020040,MIN,ATL,AWAY,20081014,Team Level,5on5,0.4343,0.4483,0.3878,2471.0,13.711,0.873,0.727,3.385,0.422,7.005,6.589,0.872,0.949,0.948,13.0,6.0,7.0,26.0,3.0,0.0,0.0,2.0,0.0,6.0,8.0,10.0,16.0,4.0,8.0,24.0,8.0,8.0,4.0,16.0,3.0,0.0,0.511,0.362,0.0,1.0,2.0,0.0,27.928,19.0,20.439,1.0,0.15,0.0,0.0,1.022,1.111,1.11,21.401,1.137,1.112,5.538,0.67,11.809,9.734,1.13,1.057,1.051,19.0,11.0,2.0,32.0,2.0,1.0,0.0,9.0,1.0,5.0,12.0,17.0,28.0,5.0,10.0,15.0,5.0,4.0,2.0,27.0,2.0,1.0,0.659,0.252,0.226,2.0,0.0,0.0,30.083,30.0,28.252,1.0,0.223,0.226,0.226,1.133,1.057,1.053
MIN,2008,MIN,2008020040,MIN,ATL,AWAY,20081014,Team Level,4on5,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.032,0.419,0.568,1.646,0.187,4.543,2.636,0.411,0.419,0.411,7.0,3.0,4.0,14.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,7.0,10.0,0.0,0.0,4.0,1.0,0.0,1.0,9.0,1.0,0.0,0.291,0.128,0.0,0.0,0.0,0.0,14.0,10.0,10.0,0.0,0.137,0.0,0.0,0.556,0.556,0.546
MIN,2008,MIN,2008020040,MIN,ATL,AWAY,20081014,Team Level,5on4,1.0,1.0,1.0,524.0,12.355,0.907,1.164,2.585,0.376,7.725,4.244,0.904,0.907,0.904,13.0,4.0,1.0,18.0,1.0,2.0,0.0,5.0,0.0,5.0,4.0,12.0,16.0,0.0,0.0,6.0,0.0,0.0,0.0,15.0,1.0,1.0,0.16,0.082,0.664,0.0,0.0,1.0,18.0,17.0,17.0,0.0,0.309,0.131,0.131,1.084,1.084,1.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
