team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MTL,2008,MTL,2008020012,MTL,BUF,AWAY,20081010,Team Level,other,0.867,0.7692,0.8,440.0,5.593,0.626,0.429,1.131,0.185,3.346,2.284,0.604,0.626,0.604,6.0,2.0,2.0,10.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,6.0,8.0,1.0,2.0,2.0,0.0,2.0,1.0,5.0,2.0,1.0,0.106,0.285,0.235,0.0,0.0,0.0,10.0,8.0,8.0,0.0,0.14,0.166,0.166,0.6,0.6,0.597,1.517,0.096,0.077,0.299,0.033,0.736,0.759,0.096,0.096,0.096,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.019,0.0,0.0,0.115,0.115,0.115
MTL,2008,MTL,2008020012,MTL,BUF,AWAY,20081010,Team Level,all,0.4866,0.4797,0.4946,3900.0,31.448,2.382,1.983,7.416,1.041,18.935,14.243,2.351,2.45,2.419,28.0,18.0,13.0,59.0,1.0,4.0,0.0,8.0,1.0,9.0,23.0,27.0,45.0,6.0,12.0,30.0,20.0,3.0,13.0,41.0,3.0,2.0,1.308,0.416,0.658,1.0,0.0,0.0,60.518,46.0,47.177,6.0,0.478,0.328,0.328,2.532,2.606,2.594,33.581,2.513,2.404,7.734,0.982,19.853,13.515,2.476,2.433,2.397,36.0,11.0,17.0,64.0,1.0,0.0,0.0,8.0,0.0,13.0,25.0,35.0,46.0,5.0,10.0,34.0,14.0,5.0,18.0,38.0,8.0,1.0,1.223,0.991,0.3,0.0,1.0,0.0,62.455,47.0,45.885,9.0,0.53,0.0,0.0,3.042,2.948,2.902
MTL,2008,MTL,2008020012,MTL,BUF,AWAY,20081010,Team Level,5on5,0.4589,0.4831,0.5075,2757.0,22.947,1.273,1.346,5.67,0.771,13.981,10.959,1.263,1.34,1.33,21.0,13.0,9.0,43.0,1.0,2.0,0.0,6.0,1.0,5.0,19.0,20.0,33.0,5.0,10.0,23.0,18.0,1.0,10.0,33.0,1.0,0.0,1.142,0.131,0.0,1.0,0.0,0.0,44.518,34.0,35.177,6.0,0.268,0.163,0.163,1.378,1.452,1.443,23.536,1.501,1.494,5.736,0.689,14.1,9.479,1.498,1.422,1.418,26.0,7.0,13.0,46.0,1.0,0.0,0.0,6.0,0.0,8.0,18.0,25.0,32.0,2.0,4.0,22.0,14.0,5.0,11.0,28.0,4.0,1.0,0.761,0.441,0.3,0.0,1.0,0.0,44.455,33.0,31.885,5.0,0.305,0.0,0.0,1.806,1.712,1.707
MTL,2008,MTL,2008020012,MTL,BUF,AWAY,20081010,Team Level,4on5,0.0,0.0667,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.794,0.839,0.795,1.615,0.237,4.792,2.722,0.807,0.839,0.807,8.0,3.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,8.0,11.0,1.0,2.0,5.0,0.0,0.0,4.0,7.0,4.0,0.0,0.29,0.55,0.0,0.0,0.0,0.0,14.0,11.0,11.0,2.0,0.198,0.0,0.0,1.037,1.037,0.996
MTL,2008,MTL,2008020012,MTL,BUF,AWAY,20081010,Team Level,5on4,0.8658,0.8333,0.8,240.0,2.908,0.484,0.208,0.615,0.086,1.607,1.001,0.484,0.484,0.484,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.061,0.0,0.423,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.07,0.0,0.0,0.554,0.554,0.554,0.735,0.075,0.039,0.084,0.023,0.224,0.555,0.075,0.075,0.075,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.084,0.084,0.084
MTL,2008,MTL,2008020016,MTL,TOR,AWAY,20081011,Team Level,other,0.0,0.2,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106,0.505,0.218,0.399,0.083,1.352,0.443,0.449,0.505,0.449,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.065,0.082,0.358,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.068,0.0,0.358,0.214,0.214,0.172
MTL,2008,MTL,2008020016,MTL,TOR,AWAY,20081011,Team Level,all,0.7169,0.582,0.5484,3600.0,37.36,6.484,2.478,7.127,1.076,20.408,13.427,5.32,6.644,5.48,34.0,17.0,20.0,71.0,6.0,1.0,1.0,8.0,0.0,20.0,16.0,28.0,45.0,6.0,15.0,40.0,35.0,4.0,10.0,37.0,4.0,10.0,0.86,0.566,5.057,3.0,0.0,3.0,76.064,51.0,53.899,5.0,0.65,0.899,0.899,6.236,6.422,5.931,29.034,2.561,1.986,6.625,0.945,17.677,12.206,2.436,2.415,2.293,25.0,17.0,9.0,51.0,1.0,1.0,1.0,10.0,1.0,16.0,13.0,24.0,41.0,9.0,23.0,29.0,28.0,6.0,16.0,33.0,6.0,3.0,1.075,0.652,0.834,0.0,0.0,1.0,46.822,42.0,38.96,8.0,0.443,0.234,0.834,2.17,2.026,1.961
MTL,2008,MTL,2008020016,MTL,TOR,AWAY,20081011,Team Level,5on5,0.4631,0.5,0.4386,2559.0,17.643,1.324,1.148,3.944,0.524,10.404,7.656,1.315,1.484,1.475,19.0,6.0,13.0,38.0,3.0,0.0,0.0,6.0,0.0,8.0,8.0,16.0,22.0,5.0,13.0,29.0,28.0,4.0,8.0,21.0,3.0,1.0,0.702,0.395,0.227,3.0,0.0,0.0,43.064,25.0,27.899,4.0,0.235,0.0,0.0,1.559,1.745,1.732,22.051,1.535,1.386,5.227,0.707,13.35,9.795,1.507,1.389,1.364,19.0,13.0,6.0,38.0,0.0,0.0,0.0,9.0,0.0,12.0,11.0,19.0,32.0,8.0,21.0,17.0,24.0,5.0,11.0,27.0,4.0,1.0,0.806,0.487,0.242,0.0,0.0,0.0,33.822,32.0,28.96,5.0,0.283,0.0,0.242,1.576,1.432,1.421
MTL,2008,MTL,2008020016,MTL,TOR,AWAY,20081011,Team Level,4on5,0.2568,0.125,0.1429,319.0,0.804,0.171,0.041,0.085,0.025,0.223,0.454,0.171,0.171,0.171,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.009,0.0,0.0,0.18,0.18,0.18,4.194,0.495,0.364,0.888,0.136,2.749,1.368,0.454,0.495,0.454,3.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,1.0,1.0,0.178,0.083,0.234,0.0,0.0,1.0,7.0,6.0,6.0,0.0,0.088,0.234,0.234,0.35,0.35,0.338
MTL,2008,MTL,2008020016,MTL,TOR,AWAY,20081011,Team Level,5on4,0.9948,0.9394,0.9615,548.0,18.913,4.988,1.289,3.099,0.528,9.781,5.316,3.834,4.988,3.834,14.0,11.0,6.0,31.0,3.0,1.0,1.0,2.0,0.0,12.0,7.0,11.0,22.0,0.0,0.0,8.0,2.0,0.0,1.0,16.0,0.0,9.0,0.158,0.0,4.83,0.0,0.0,3.0,31.0,25.0,25.0,1.0,0.407,0.899,0.899,4.497,4.497,4.019,0.683,0.026,0.017,0.11,0.018,0.227,0.601,0.026,0.026,0.026,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.004,0.0,0.0,0.03,0.03,0.03
