team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
N.J,2008,N.J,2008020009,N.J,NYI,HOME,20081010,Team Level,other,0.0,0.0,0.0,1356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491,0.911,0.342,0.635,0.118,2.528,1.532,0.82,0.911,0.82,6.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,2.0,0.109,0.252,0.55,0.0,0.0,0.0,9.0,7.0,7.0,0.0,0.131,0.0,0.0,0.976,0.976,0.873
N.J,2008,N.J,2008020009,N.J,NYI,HOME,20081010,Team Level,all,0.4817,0.5859,0.56,3600.0,30.372,2.246,2.106,7.065,0.937,17.154,12.492,2.188,2.209,2.151,29.0,13.0,16.0,58.0,2.0,2.0,1.0,8.0,1.0,15.0,14.0,27.0,40.0,8.0,14.0,28.0,21.0,10.0,1.0,36.0,3.0,3.0,1.071,0.351,0.824,1.0,0.0,1.0,58.187,42.0,42.375,0.0,0.449,0.57,0.57,2.125,2.083,2.065,23.385,2.417,1.555,5.247,0.819,12.837,9.19,2.314,2.433,2.33,26.0,7.0,8.0,41.0,1.0,1.0,0.0,4.0,3.0,13.0,11.0,25.0,32.0,6.0,12.0,30.0,12.0,8.0,8.0,23.0,6.0,4.0,0.503,0.653,1.261,0.0,0.0,1.0,40.945,33.0,32.719,5.0,0.412,0.244,0.283,2.481,2.497,2.389
N.J,2008,N.J,2008020009,N.J,NYI,HOME,20081010,Team Level,5on5,0.6373,0.6575,0.6481,1739.0,25.267,1.713,1.648,5.906,0.772,14.34,10.621,1.664,1.677,1.627,25.0,10.0,13.0,48.0,1.0,1.0,1.0,6.0,1.0,14.0,12.0,24.0,34.0,6.0,10.0,17.0,17.0,7.0,1.0,30.0,3.0,2.0,0.82,0.351,0.543,0.0,0.0,1.0,48.187,35.0,35.375,0.0,0.337,0.288,0.288,1.762,1.719,1.704,13.698,0.975,0.754,3.731,0.542,7.274,5.724,0.964,0.991,0.98,15.0,4.0,6.0,25.0,0.0,1.0,0.0,2.0,3.0,5.0,8.0,15.0,19.0,5.0,10.0,20.0,11.0,3.0,6.0,14.0,4.0,1.0,0.33,0.401,0.244,0.0,0.0,0.0,24.945,19.0,18.719,5.0,0.153,0.244,0.283,0.846,0.862,0.858
N.J,2008,N.J,2008020009,N.J,NYI,HOME,20081010,Team Level,4on5,0.0784,0.1429,0.1429,179.0,0.712,0.044,0.02,0.098,0.019,0.199,0.62,0.044,0.044,0.044,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.049,0.049,0.049,4.426,0.517,0.435,0.73,0.139,2.799,1.38,0.517,0.517,0.517,4.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,1.0,2.0,2.0,0.0,1.0,2.0,5.0,0.0,1.0,0.05,0.0,0.467,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.123,0.0,0.0,0.64,0.64,0.639
N.J,2008,N.J,2008020009,N.J,NYI,HOME,20081010,Team Level,5on4,0.9722,0.9,0.8571,326.0,4.393,0.489,0.438,1.061,0.146,2.615,1.25,0.48,0.489,0.48,4.0,2.0,3.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,0.207,0.0,0.281,1.0,0.0,0.0,9.0,6.0,6.0,0.0,0.108,0.281,0.281,0.315,0.315,0.313,0.77,0.014,0.025,0.151,0.02,0.236,0.554,0.014,0.014,0.014,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.019,0.019,0.019
N.J,2008,N.J,2008020022,N.J,PIT,AWAY,20081011,Team Level,other,0.9475,0.8125,0.8182,162.0,5.94,1.389,0.299,0.999,0.196,2.474,2.707,1.252,1.389,1.252,8.0,1.0,4.0,13.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,0.151,0.18,1.059,1.0,0.0,0.0,13.0,9.0,9.0,0.0,0.11,0.0,0.0,1.434,1.434,1.288,1.442,0.077,0.078,0.31,0.034,0.673,0.828,0.077,0.077,0.077,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.018,0.0,0.0,0.095,0.095,0.095
N.J,2008,N.J,2008020022,N.J,PIT,AWAY,20081011,Team Level,all,0.5676,0.6984,0.6932,3862.0,43.016,2.765,2.603,9.919,1.356,24.535,18.887,2.621,2.776,2.633,49.0,12.0,27.0,88.0,2.0,1.0,0.0,8.0,1.0,26.0,23.0,47.0,59.0,7.0,20.0,29.0,20.0,2.0,6.0,53.0,5.0,3.0,1.213,0.493,1.059,2.0,0.0,0.0,87.284,61.0,60.244,4.0,0.604,0.021,0.021,3.283,3.298,3.142,19.548,2.106,1.48,4.018,0.693,10.905,7.798,2.08,2.07,2.045,15.0,12.0,11.0,38.0,1.0,1.0,0.0,1.0,1.0,10.0,13.0,14.0,26.0,7.0,20.0,23.0,24.0,6.0,12.0,18.0,7.0,2.0,0.672,0.785,0.649,0.0,1.0,0.0,37.974,27.0,27.164,5.0,0.33,0.376,0.376,2.06,2.038,2.015
N.J,2008,N.J,2008020022,N.J,PIT,AWAY,20081011,Team Level,5on5,0.4594,0.6747,0.6429,3024.0,25.509,1.201,1.402,6.28,0.793,14.926,11.398,1.196,1.213,1.208,29.0,7.0,20.0,56.0,1.0,0.0,0.0,6.0,0.0,15.0,14.0,28.0,35.0,7.0,20.0,22.0,14.0,1.0,5.0,33.0,3.0,0.0,0.888,0.313,0.0,1.0,0.0,0.0,55.284,36.0,35.244,3.0,0.279,0.0,0.0,1.48,1.495,1.489,14.43,1.413,1.008,3.155,0.537,8.143,5.744,1.391,1.377,1.356,11.0,9.0,7.0,27.0,0.0,1.0,0.0,1.0,0.0,8.0,10.0,11.0,20.0,5.0,16.0,12.0,18.0,5.0,8.0,15.0,4.0,1.0,0.553,0.485,0.376,0.0,0.0,0.0,26.974,20.0,20.164,3.0,0.209,0.376,0.376,1.246,1.224,1.205
N.J,2008,N.J,2008020022,N.J,PIT,AWAY,20081011,Team Level,4on5,0.0968,0.3,0.375,308.0,2.208,0.066,0.066,0.399,0.065,0.721,1.682,0.066,0.066,0.066,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.018,0.0,0.0,0.084,0.084,0.084,3.676,0.616,0.394,0.553,0.122,2.088,1.227,0.611,0.616,0.611,3.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,0.042,0.3,0.274,0.0,1.0,0.0,7.0,5.0,5.0,1.0,0.103,0.0,0.0,0.719,0.719,0.714
N.J,2008,N.J,2008020022,N.J,PIT,AWAY,20081011,Team Level,5on4,1.0,0.9412,1.0,368.0,9.359,0.108,0.835,2.241,0.301,6.414,3.101,0.107,0.108,0.107,11.0,2.0,3.0,16.0,0.0,1.0,0.0,1.0,1.0,7.0,3.0,11.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,13.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,16.0,13.0,13.0,0.0,0.197,0.021,0.021,0.284,0.284,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N.J,2008,N.J,2008020034,N.J,NYR,AWAY,20081013,Team Level,other,0.7142,0.6667,0.5,357.0,2.44,1.282,0.117,0.327,0.063,0.802,0.409,0.858,1.282,0.858,2.0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.282,0.0,0.0,0.0,8.0,3.0,3.0,0.0,0.06,0.0,0.0,1.342,1.342,0.904,1.923,0.513,0.169,0.265,0.081,1.367,0.605,0.513,0.513,0.513,3.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0,0.091,0.0,0.422,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.053,0.0,0.0,0.565,0.565,0.565
N.J,2008,N.J,2008020034,N.J,NYR,AWAY,20081013,Team Level,all,0.6886,0.5631,0.5493,3600.0,27.706,3.454,1.561,6.16,0.983,14.407,12.435,2.857,3.445,2.848,27.0,12.0,19.0,58.0,1.0,4.0,1.0,4.0,1.0,14.0,15.0,26.0,38.0,6.0,12.0,20.0,43.0,9.0,3.0,28.0,5.0,6.0,0.444,0.619,2.391,0.0,0.0,1.0,56.392,39.0,38.019,3.0,0.383,1.139,1.139,2.698,2.691,2.242,21.917,1.562,1.34,5.845,0.782,13.552,8.918,1.549,1.557,1.543,24.0,8.0,13.0,45.0,4.0,1.0,0.0,5.0,0.0,12.0,10.0,20.0,28.0,5.0,10.0,28.0,37.0,13.0,10.0,29.0,1.0,2.0,0.75,0.187,0.625,2.0,0.0,2.0,45.77,32.0,32.339,7.0,0.309,0.02,0.02,1.852,1.844,1.829
