team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NSH,2008,NSH,2008020014,NSH,STL,AWAY,20081010,Team Level,other,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSH,2008,NSH,2008020014,NSH,STL,AWAY,20081010,Team Level,all,0.3848,0.5326,0.52,3600.0,26.382,1.523,1.647,6.18,0.838,15.486,12.391,1.518,1.539,1.534,22.0,17.0,10.0,49.0,2.0,3.0,1.0,5.0,2.0,12.0,15.0,20.0,37.0,6.0,12.0,28.0,23.0,3.0,2.0,36.0,2.0,1.0,0.982,0.236,0.305,1.0,1.0,0.0,47.233,39.0,38.176,1.0,0.354,0.131,0.131,1.745,1.766,1.762,26.094,2.435,1.982,5.402,0.814,14.837,10.53,2.399,2.42,2.384,22.0,14.0,7.0,43.0,5.0,1.0,0.0,2.0,0.0,12.0,16.0,17.0,31.0,4.0,8.0,27.0,18.0,7.0,4.0,25.0,10.0,1.0,0.924,1.22,0.291,1.0,3.0,1.0,44.767,36.0,36.611,2.0,0.444,0.11,0.11,2.769,2.762,2.719
NSH,2008,NSH,2008020014,NSH,STL,AWAY,20081010,Team Level,5on5,0.4606,0.5571,0.5593,2715.0,22.456,1.117,1.362,5.441,0.704,12.842,10.599,1.112,1.133,1.128,22.0,11.0,6.0,39.0,2.0,3.0,1.0,5.0,2.0,10.0,11.0,20.0,31.0,5.0,10.0,20.0,21.0,3.0,2.0,31.0,2.0,0.0,0.881,0.236,0.0,1.0,1.0,0.0,37.233,33.0,32.176,1.0,0.276,0.131,0.131,1.261,1.282,1.278,18.829,1.308,1.197,4.049,0.566,10.839,8.041,1.295,1.293,1.28,15.0,11.0,5.0,31.0,1.0,1.0,0.0,1.0,0.0,9.0,14.0,14.0,25.0,4.0,8.0,18.0,15.0,6.0,2.0,22.0,4.0,0.0,0.789,0.52,0.0,1.0,0.0,0.0,32.767,26.0,26.61,1.0,0.245,0.11,0.11,1.444,1.436,1.421
NSH,2008,NSH,2008020014,NSH,STL,AWAY,20081010,Team Level,4on5,0.0679,0.0909,0.1,405.0,0.529,0.076,0.031,0.07,0.022,0.238,0.562,0.076,0.076,0.076,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.083,0.083,0.083,6.512,1.044,0.728,1.257,0.225,3.774,1.972,1.022,1.044,1.022,7.0,2.0,1.0,10.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,5.0,1.0,0.136,0.618,0.291,0.0,3.0,1.0,10.0,9.0,9.0,1.0,0.187,0.0,0.0,1.231,1.231,1.203
NSH,2008,NSH,2008020014,NSH,STL,AWAY,20081010,Team Level,5on4,0.801,0.8182,0.8333,389.0,3.397,0.33,0.254,0.669,0.111,2.406,1.23,0.33,0.33,0.33,0.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.025,0.0,0.305,0.0,0.0,0.0,9.0,5.0,5.0,0.0,0.071,0.0,0.0,0.401,0.401,0.401,0.752,0.082,0.057,0.096,0.023,0.225,0.517,0.082,0.082,0.082,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.012,0.0,0.0,0.095,0.095,0.095
NSH,2008,NSH,2008020024,NSH,DAL,HOME,20081011,Team Level,other,0.5494,0.625,0.6,213.0,1.771,0.178,0.145,0.368,0.091,1.484,0.734,0.177,0.178,0.177,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.053,0.125,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.04,0.0,0.0,0.217,0.217,0.216,1.415,0.146,0.091,0.337,0.041,0.88,0.504,0.144,0.146,0.144,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.048,0.098,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.029,0.0,0.0,0.175,0.175,0.172
NSH,2008,NSH,2008020024,NSH,DAL,HOME,20081011,Team Level,all,0.6443,0.6095,0.5949,3600.0,33.774,3.743,2.576,7.397,1.151,18.297,13.836,3.616,3.738,3.611,32.0,15.0,17.0,64.0,3.0,5.0,1.0,5.0,0.0,10.0,24.0,29.0,44.0,10.0,34.0,30.0,17.0,8.0,3.0,34.0,8.0,5.0,1.147,1.059,1.537,0.0,0.0,3.0,64.876,47.0,48.011,0.0,0.59,1.036,1.036,3.296,3.292,3.213,21.897,2.066,1.402,5.109,0.744,12.956,9.723,1.868,2.074,1.876,20.0,12.0,9.0,41.0,1.0,0.0,0.0,3.0,1.0,13.0,14.0,19.0,31.0,13.0,48.0,26.0,10.0,9.0,3.0,24.0,6.0,2.0,0.598,0.612,0.856,1.0,0.0,0.0,40.386,32.0,31.352,1.0,0.332,0.0,0.0,2.399,2.408,2.196
NSH,2008,NSH,2008020024,NSH,DAL,HOME,20081011,Team Level,5on5,0.6717,0.5672,0.5283,2317.0,20.157,2.077,1.305,4.468,0.654,11.099,8.396,2.016,2.073,2.011,20.0,8.0,10.0,38.0,1.0,3.0,1.0,3.0,0.0,3.0,18.0,19.0,27.0,8.0,30.0,17.0,16.0,5.0,1.0,22.0,3.0,3.0,0.708,0.385,0.985,0.0,0.0,1.0,38.876,28.0,29.011,0.0,0.267,0.81,0.81,1.534,1.53,1.492,16.632,1.015,1.069,4.074,0.599,10.036,8.208,1.001,1.023,1.009,14.0,11.0,4.0,29.0,1.0,0.0,0.0,3.0,1.0,9.0,11.0,13.0,24.0,10.0,42.0,13.0,9.0,7.0,2.0,20.0,5.0,0.0,0.5,0.514,0.0,1.0,0.0,0.0,28.386,25.0,24.352,0.0,0.216,0.0,0.0,1.231,1.241,1.224
NSH,2008,NSH,2008020024,NSH,DAL,HOME,20081011,Team Level,4on5,0.065,0.3077,0.375,511.0,2.011,0.063,0.07,0.304,0.057,0.735,1.772,0.063,0.063,0.063,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,4.0,6.0,1.0,2.0,0.0,3.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.017,0.0,0.0,0.08,0.08,0.08,3.849,0.906,0.242,0.698,0.104,2.039,1.011,0.723,0.906,0.723,4.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,0.05,0.0,0.856,0.0,0.0,0.0,9.0,5.0,5.0,0.0,0.087,0.0,0.0,0.993,0.993,0.799
NSH,2008,NSH,2008020024,NSH,DAL,HOME,20081011,Team Level,5on4,1.0,1.0,1.0,559.0,9.835,1.425,1.056,2.256,0.349,4.979,2.934,1.361,1.425,1.361,10.0,3.0,4.0,17.0,2.0,2.0,0.0,2.0,0.0,3.0,4.0,8.0,11.0,0.0,0.0,3.0,0.0,1.0,2.0,7.0,4.0,2.0,0.323,0.55,0.552,0.0,0.0,2.0,17.0,13.0,13.0,0.0,0.266,0.226,0.226,1.465,1.465,1.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
