team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2008,PIT,2008020002,PIT,OTT,AWAY,20081004,Team Level,other,0.2807,0.45,0.4,179.0,3.065,0.21,0.189,0.685,0.111,1.697,2.174,0.21,0.21,0.21,5.0,1.0,3.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,0.121,0.089,0.0,1.0,0.0,0.0,9.0,6.0,6.0,0.0,0.06,0.0,0.0,0.204,0.204,0.204,6.524,0.538,0.348,1.81,0.256,3.42,2.627,0.526,0.538,0.526,6.0,3.0,2.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,6.0,9.0,0.0,0.0,8.0,1.0,1.0,1.0,7.0,2.0,0.0,0.193,0.345,0.0,0.0,0.0,0.0,11.0,9.0,9.0,1.0,0.094,0.06,0.06,0.571,0.571,0.558
PIT,2008,PIT,2008020002,PIT,OTT,AWAY,20081004,Team Level,all,0.472,0.5246,0.4778,3875.0,29.868,2.34,1.964,6.946,0.929,17.069,12.816,2.325,2.424,2.407,30.0,13.0,21.0,64.0,4.0,0.0,0.0,4.0,2.0,17.0,16.0,26.0,39.0,6.0,12.0,28.0,23.0,11.0,15.0,35.0,6.0,2.0,0.8,0.646,0.894,2.0,1.0,1.0,65.926,43.0,44.352,10.0,0.449,0.0,0.0,2.724,2.823,2.794,33.901,2.618,2.107,8.056,1.099,18.369,14.751,2.577,2.553,2.513,35.0,12.0,11.0,58.0,3.0,1.0,0.0,6.0,0.0,13.0,24.0,32.0,44.0,7.0,14.0,32.0,39.0,10.0,15.0,35.0,12.0,0.0,1.145,1.473,0.0,2.0,1.0,0.0,56.681,47.0,45.987,10.0,0.481,0.06,0.06,3.039,2.961,2.915
PIT,2008,PIT,2008020002,PIT,OTT,AWAY,20081004,Team Level,5on5,0.4801,0.5352,0.4815,2680.0,18.995,1.148,1.229,4.604,0.579,10.623,7.816,1.136,1.231,1.218,17.0,9.0,12.0,38.0,2.0,0.0,0.0,2.0,1.0,9.0,12.0,15.0,24.0,4.0,8.0,16.0,20.0,7.0,11.0,21.0,5.0,0.0,0.591,0.557,0.0,1.0,1.0,0.0,39.926,26.0,27.352,8.0,0.248,0.0,0.0,1.396,1.496,1.48,19.96,1.243,1.222,5.097,0.637,11.369,8.432,1.232,1.178,1.168,22.0,6.0,5.0,33.0,1.0,0.0,0.0,4.0,0.0,10.0,13.0,21.0,27.0,6.0,12.0,15.0,35.0,5.0,7.0,23.0,5.0,0.0,0.695,0.548,0.0,1.0,0.0,0.0,31.681,28.0,26.987,5.0,0.252,0.0,0.0,1.495,1.417,1.406
PIT,2008,PIT,2008020002,PIT,OTT,AWAY,20081004,Team Level,4on5,0.2812,0.1818,0.1429,311.0,0.836,0.248,0.054,0.069,0.018,0.218,0.393,0.248,0.248,0.248,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.248,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.012,0.0,0.0,0.261,0.261,0.261,4.568,0.634,0.444,0.771,0.13,2.646,1.374,0.616,0.634,0.616,4.0,2.0,3.0,9.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,4.0,0.0,0.147,0.488,0.0,1.0,0.0,0.0,9.0,6.0,6.0,0.0,0.116,0.0,0.0,0.75,0.75,0.729
PIT,2008,PIT,2008020002,PIT,OTT,AWAY,20081004,Team Level,5on4,0.7834,0.75,0.7143,705.0,6.972,0.734,0.492,1.588,0.22,4.531,2.434,0.731,0.734,0.731,7.0,3.0,5.0,15.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,7.0,10.0,1.0,2.0,7.0,1.0,1.0,2.0,9.0,0.0,1.0,0.088,0.0,0.646,0.0,0.0,0.0,15.0,10.0,10.0,0.0,0.129,0.0,0.0,0.863,0.863,0.85,2.85,0.203,0.092,0.378,0.076,0.934,2.318,0.203,0.203,0.203,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,1.0,0.0,0.11,0.093,0.0,0.0,1.0,0.0,5.0,4.0,4.0,4.0,0.02,0.0,0.0,0.223,0.223,0.223
PIT,2008,PIT,2008020004,PIT,OTT,HOME,20081005,Team Level,other,1.0,1.0,1.0,40.0,1.376,0.065,0.119,0.315,0.043,1.073,0.386,0.064,0.065,0.064,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.03,0.0,0.0,0.094,0.094,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,2008,PIT,2008020004,PIT,OTT,HOME,20081005,Team Level,all,0.4058,0.4766,0.4744,3600.0,26.727,2.3,2.094,5.631,0.768,15.773,10.435,2.227,2.204,2.136,31.0,6.0,14.0,51.0,1.0,2.0,0.0,3.0,0.0,15.0,16.0,30.0,36.0,5.0,10.0,29.0,32.0,7.0,11.0,25.0,11.0,1.0,0.943,1.127,0.23,0.0,1.0,0.0,49.207,37.0,35.706,6.0,0.462,0.398,0.398,2.364,2.277,2.226,30.266,3.368,1.846,6.771,0.912,15.525,12.577,2.744,3.459,2.834,27.0,14.0,15.0,56.0,3.0,1.0,1.0,5.0,1.0,15.0,16.0,24.0,38.0,8.0,16.0,28.0,23.0,8.0,11.0,35.0,3.0,3.0,0.77,0.43,2.168,0.0,1.0,2.0,58.766,41.0,42.844,7.0,0.428,0.886,0.886,2.91,3.02,3.003
PIT,2008,PIT,2008020004,PIT,OTT,HOME,20081005,Team Level,5on5,0.6148,0.4714,0.48,2404.0,18.147,1.59,1.356,3.943,0.533,9.746,6.831,1.521,1.494,1.43,20.0,4.0,9.0,33.0,0.0,2.0,0.0,1.0,0.0,11.0,10.0,20.0,24.0,5.0,10.0,18.0,26.0,6.0,5.0,16.0,7.0,1.0,0.584,0.776,0.23,0.0,0.0,0.0,31.207,24.0,22.706,2.0,0.283,0.398,0.398,1.475,1.388,1.342,18.884,0.996,1.111,4.748,0.602,10.177,8.366,0.988,1.087,1.079,14.0,12.0,11.0,37.0,1.0,0.0,0.0,2.0,0.0,10.0,13.0,13.0,25.0,8.0,16.0,16.0,18.0,6.0,6.0,23.0,3.0,0.0,0.566,0.43,0.0,0.0,1.0,0.0,39.766,26.0,27.844,6.0,0.222,0.0,0.0,1.218,1.328,1.319
PIT,2008,PIT,2008020004,PIT,OTT,HOME,20081005,Team Level,4on5,0.0004,0.1176,0.0769,394.0,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.003,0.0,0.0,0.004,0.004,0.004,9.244,2.272,0.646,1.69,0.249,4.643,2.499,1.655,2.272,1.655,10.0,2.0,3.0,15.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,8.0,10.0,0.0,0.0,4.0,1.0,0.0,4.0,9.0,0.0,3.0,0.103,0.0,2.168,0.0,0.0,2.0,15.0,12.0,12.0,0.0,0.181,0.886,0.886,1.567,1.567,1.559
PIT,2008,PIT,2008020004,PIT,OTT,HOME,20081005,Team Level,5on4,0.8644,0.7647,0.7692,762.0,6.904,0.644,0.609,1.362,0.181,4.945,2.259,0.641,0.644,0.641,9.0,1.0,3.0,13.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,8.0,9.0,0.0,0.0,6.0,4.0,0.0,3.0,6.0,4.0,0.0,0.293,0.351,0.0,0.0,1.0,0.0,13.0,10.0,10.0,1.0,0.147,0.0,0.0,0.791,0.791,0.787,2.138,0.101,0.089,0.333,0.061,0.704,1.713,0.101,0.101,0.101,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,8.0,4.0,2.0,1.0,3.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.025,0.0,0.0,0.125,0.125,0.125
