team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
T.B,2008,T.B,2008020001,T.B,NYR,HOME,20081004,Team Level,other,1.0,1.0,1.0,42.0,0.689,0.019,0.069,0.164,0.02,0.521,0.207,0.019,0.019,0.019,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.017,0.0,0.0,0.037,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.B,2008,T.B,2008020001,T.B,NYR,HOME,20081004,Team Level,all,0.5404,0.3592,0.369,3600.0,22.88,2.689,1.78,4.436,0.639,12.626,8.83,2.524,2.607,2.45,21.0,10.0,6.0,37.0,1.0,1.0,0.0,5.0,1.0,8.0,15.0,20.0,30.0,7.0,14.0,32.0,17.0,11.0,7.0,16.0,12.0,3.0,0.599,1.278,0.811,1.0,0.0,0.0,36.14,31.0,30.369,5.0,0.396,0.168,0.168,2.917,2.833,2.714,37.733,2.287,2.842,8.155,1.134,22.53,16.054,2.249,2.396,2.357,41.0,12.0,13.0,66.0,2.0,1.0,0.0,14.0,2.0,18.0,16.0,39.0,51.0,4.0,8.0,30.0,16.0,19.0,8.0,44.0,8.0,1.0,1.04,0.811,0.435,1.0,0.0,1.0,68.292,53.0,54.697,4.0,0.641,0.014,0.029,2.899,3.03,2.98
T.B,2008,T.B,2008020001,T.B,NYR,HOME,20081004,Team Level,5on5,0.5143,0.3571,0.3636,2283.0,14.729,1.793,1.117,3.001,0.406,7.737,5.946,1.633,1.711,1.559,11.0,9.0,5.0,25.0,1.0,1.0,0.0,4.0,1.0,4.0,9.0,10.0,19.0,7.0,14.0,18.0,13.0,9.0,5.0,12.0,6.0,2.0,0.498,0.689,0.606,1.0,0.0,0.0,24.14,20.0,19.369,3.0,0.237,0.168,0.168,1.862,1.777,1.665,24.802,1.693,1.724,5.513,0.739,14.65,10.681,1.656,1.803,1.764,28.0,7.0,10.0,45.0,1.0,0.0,0.0,10.0,1.0,14.0,9.0,27.0,34.0,3.0,6.0,19.0,13.0,13.0,7.0,27.0,8.0,0.0,0.882,0.811,0.0,1.0,0.0,0.0,47.292,35.0,36.697,4.0,0.355,0.0,0.0,2.048,2.18,2.13
T.B,2008,T.B,2008020001,T.B,NYR,HOME,20081004,Team Level,4on5,0.2683,0.0476,0.0556,807.0,0.865,0.205,0.083,0.077,0.019,0.226,0.39,0.205,0.205,0.205,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.205,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019,0.0,0.0,0.224,0.224,0.224,12.291,0.559,1.096,2.546,0.374,7.643,4.782,0.559,0.559,0.559,12.0,5.0,3.0,20.0,1.0,1.0,0.0,3.0,1.0,4.0,7.0,11.0,16.0,1.0,2.0,6.0,0.0,1.0,1.0,16.0,0.0,1.0,0.124,0.0,0.435,0.0,0.0,1.0,20.0,17.0,17.0,0.0,0.28,0.014,0.029,0.81,0.81,0.809
T.B,2008,T.B,2008020001,T.B,NYR,HOME,20081004,Team Level,5on4,0.9518,0.9091,0.9,468.0,6.597,0.671,0.511,1.194,0.194,4.143,2.287,0.666,0.671,0.666,8.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,9.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,6.0,0.0,0.082,0.59,0.0,0.0,0.0,0.0,10.0,9.0,9.0,1.0,0.124,0.0,0.0,0.795,0.795,0.789,0.64,0.034,0.022,0.096,0.021,0.236,0.59,0.034,0.034,0.034,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.041,0.041,0.041
T.B,2008,T.B,2008020003,T.B,NYR,AWAY,20081005,Team Level,other,0.535,0.375,0.3333,126.0,0.789,0.084,0.028,0.223,0.024,0.323,0.383,0.084,0.084,0.084,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.007,0.0,0.0,0.025,0.025,0.025,2.852,0.073,0.117,0.781,0.092,1.509,1.428,0.072,0.073,0.072,4.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.028,0.0,0.0,0.101,0.101,0.1
T.B,2008,T.B,2008020003,T.B,NYR,AWAY,20081005,Team Level,all,0.3381,0.3793,0.381,3600.0,21.183,0.916,1.156,5.124,0.659,12.233,10.978,0.894,0.937,0.915,19.0,13.0,12.0,44.0,1.0,0.0,0.0,4.0,2.0,11.0,14.0,18.0,31.0,5.0,13.0,29.0,31.0,8.0,7.0,29.0,3.0,0.0,0.628,0.288,0.0,0.0,1.0,0.0,44.339,32.0,31.984,5.0,0.241,0.0,0.0,1.091,1.117,1.091,34.277,1.793,1.872,9.068,1.722,19.788,17.757,1.744,1.752,1.704,39.0,13.0,20.0,72.0,2.0,1.0,0.0,3.0,2.0,19.0,25.0,37.0,50.0,6.0,15.0,17.0,10.0,12.0,11.0,47.0,5.0,0.0,1.278,0.515,0.0,0.0,2.0,0.0,70.702,52.0,51.211,7.0,0.404,0.057,0.093,2.104,2.055,2.003
T.B,2008,T.B,2008020003,T.B,NYR,AWAY,20081005,Team Level,5on5,0.4112,0.3855,0.3833,2791.0,16.222,0.803,0.852,4.132,0.509,9.358,7.346,0.781,0.825,0.803,13.0,10.0,9.0,32.0,1.0,0.0,0.0,3.0,2.0,8.0,9.0,12.0,22.0,5.0,13.0,21.0,30.0,7.0,6.0,20.0,3.0,0.0,0.516,0.288,0.0,0.0,1.0,0.0,32.339,23.0,22.984,4.0,0.17,0.0,0.0,0.973,0.998,0.973,24.998,1.15,1.369,6.811,0.883,14.751,12.036,1.142,1.109,1.102,26.0,11.0,14.0,51.0,1.0,1.0,0.0,2.0,1.0,12.0,20.0,25.0,36.0,5.0,13.0,10.0,9.0,9.0,10.0,35.0,2.0,0.0,0.94,0.21,0.0,0.0,1.0,0.0,49.702,37.0,36.211,6.0,0.27,0.057,0.057,1.364,1.315,1.306
T.B,2008,T.B,2008020003,T.B,NYR,AWAY,20081005,Team Level,4on5,0.0038,0.1429,0.2222,160.0,0.6,0.002,0.02,0.02,0.02,0.02,1.918,0.002,0.002,0.002,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.004,0.0,0.0,0.006,0.006,0.006,4.106,0.519,0.313,1.192,0.686,2.869,1.421,0.479,0.519,0.479,6.0,1.0,5.0,12.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,6.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,3.0,0.0,0.214,0.305,0.0,0.0,1.0,0.0,12.0,7.0,7.0,0.0,0.085,0.0,0.036,0.568,0.568,0.525
T.B,2008,T.B,2008020003,T.B,NYR,AWAY,20081005,Team Level,5on4,0.3462,0.6364,0.5556,523.0,3.573,0.027,0.255,0.749,0.106,2.532,1.331,0.027,0.027,0.027,4.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,0.06,0.0,0.0,0.087,0.087,0.087,2.321,0.051,0.073,0.284,0.061,0.659,2.872,0.051,0.051,0.051,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.021,0.0,0.0,0.072,0.072,0.072
