team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2011,WPG,2011020023,WPG,MTL,HOME,20111009,Team Level,other,0.4327,0.8,0.75,238.0,2.175,0.302,0.194,0.435,0.068,1.266,0.736,0.248,0.302,0.248,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.302,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.052,0.0,0.0,0.354,0.354,0.293,0.809,0.396,0.033,0.092,0.02,0.284,0.174,0.396,0.396,0.396,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.396,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.019,0.0,0.0,0.415,0.415,0.415
WPG,2011,WPG,2011020023,WPG,MTL,HOME,20111009,Team Level,all,0.5324,0.5938,0.5733,3600.0,31.33,2.644,2.118,7.121,0.981,17.794,12.342,2.56,2.492,2.41,31.0,12.0,14.0,57.0,1.0,1.0,0.0,12.0,0.0,13.0,16.0,30.0,42.0,5.0,10.0,31.0,26.0,5.0,9.0,30.0,13.0,0.0,1.153,1.492,0.0,0.0,1.0,0.0,52.307,43.0,39.712,5.0,0.46,0.114,0.114,2.991,2.821,2.736,22.732,2.322,1.313,4.818,0.742,12.141,10.665,2.309,2.528,2.515,22.0,10.0,7.0,39.0,5.0,0.0,0.0,1.0,1.0,12.0,13.0,17.0,27.0,8.0,16.0,33.0,7.0,2.0,10.0,22.0,6.0,4.0,0.675,0.566,1.081,2.0,0.0,3.0,42.911,32.0,34.9,7.0,0.293,0.0,0.0,2.614,2.844,2.828
WPG,2011,WPG,2011020023,WPG,MTL,HOME,20111009,Team Level,5on5,0.4802,0.589,0.5614,2500.0,23.37,1.711,1.487,5.634,0.751,12.95,9.467,1.683,1.559,1.533,23.0,9.0,11.0,43.0,1.0,1.0,0.0,9.0,0.0,10.0,11.0,22.0,31.0,4.0,8.0,19.0,20.0,5.0,6.0,25.0,7.0,0.0,0.935,0.776,0.0,0.0,1.0,0.0,38.307,32.0,28.711,3.0,0.305,0.114,0.114,1.902,1.733,1.711,18.771,1.852,1.026,4.05,0.583,9.493,7.996,1.84,2.058,2.045,17.0,8.0,5.0,30.0,4.0,0.0,0.0,1.0,0.0,10.0,10.0,13.0,21.0,6.0,12.0,19.0,6.0,2.0,5.0,16.0,6.0,3.0,0.601,0.566,0.685,2.0,0.0,2.0,33.911,25.0,27.9,5.0,0.21,0.0,0.0,2.062,2.292,2.278
WPG,2011,WPG,2011020023,WPG,MTL,HOME,20111009,Team Level,4on5,0.8243,0.1667,0.2,345.0,0.825,0.197,0.061,0.079,0.019,0.224,0.421,0.197,0.197,0.197,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.197,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.014,0.0,0.0,0.211,0.211,0.211,2.468,0.042,0.223,0.605,0.099,2.083,0.949,0.041,0.042,0.041,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.057,0.0,0.0,0.098,0.098,0.097
WPG,2011,WPG,2011020023,WPG,MTL,HOME,20111009,Team Level,5on4,0.9313,0.75,0.7778,517.0,4.96,0.434,0.376,0.973,0.144,3.354,1.718,0.431,0.434,0.431,6.0,1.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,6.0,7.0,0.0,0.0,4.0,4.0,0.0,1.0,5.0,2.0,0.0,0.218,0.217,0.0,0.0,0.0,0.0,9.0,7.0,7.0,0.0,0.09,0.0,0.0,0.524,0.524,0.52,0.684,0.032,0.03,0.071,0.04,0.281,1.546,0.032,0.032,0.032,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.007,0.0,0.0,0.039,0.039,0.039
WPG,2011,WPG,2011020045,WPG,CHI,AWAY,20111013,Team Level,other,1.0,0.6667,1.0,88.0,0.804,0.053,0.037,0.191,0.033,0.492,0.194,0.053,0.053,0.053,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.013,0.0,0.0,0.066,0.066,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WPG,2011,WPG,2011020045,WPG,CHI,AWAY,20111013,Team Level,all,0.515,0.5487,0.5682,3600.0,37.156,2.101,2.633,8.284,1.184,20.683,15.114,2.067,2.178,2.141,30.0,20.0,12.0,62.0,3.0,1.0,0.0,10.0,0.0,21.0,15.0,27.0,47.0,3.0,6.0,24.0,34.0,6.0,5.0,40.0,8.0,2.0,0.774,0.88,0.447,0.0,2.0,1.0,62.838,50.0,50.707,4.0,0.599,0.015,0.015,2.686,2.774,2.731,27.919,1.979,1.834,6.38,0.87,15.142,11.795,1.947,1.962,1.93,32.0,6.0,13.0,51.0,4.0,1.0,1.0,6.0,0.0,11.0,16.0,28.0,34.0,2.0,4.0,35.0,20.0,14.0,8.0,29.0,8.0,1.0,0.627,1.02,0.332,2.0,1.0,1.0,51.204,38.0,38.217,6.0,0.387,0.332,0.332,2.034,2.012,1.985
WPG,2011,WPG,2011020045,WPG,CHI,AWAY,20111013,Team Level,5on5,0.5577,0.5172,0.5286,2962.0,27.478,1.934,1.604,6.064,0.83,14.497,12.072,1.901,2.01,1.975,23.0,14.0,8.0,45.0,3.0,0.0,0.0,7.0,0.0,15.0,12.0,20.0,34.0,3.0,6.0,16.0,30.0,4.0,5.0,27.0,8.0,2.0,0.607,0.88,0.447,0.0,2.0,1.0,45.838,37.0,37.707,4.0,0.332,0.0,0.0,2.265,2.353,2.315,24.01,1.534,1.507,5.318,0.731,13.308,10.602,1.513,1.518,1.496,29.0,4.0,9.0,42.0,3.0,0.0,0.0,6.0,0.0,11.0,13.0,26.0,30.0,2.0,4.0,31.0,19.0,13.0,8.0,25.0,8.0,0.0,0.515,1.02,0.0,2.0,1.0,0.0,42.204,33.0,33.217,6.0,0.307,0.0,0.0,1.842,1.82,1.794
WPG,2011,WPG,2011020045,WPG,CHI,AWAY,20111013,Team Level,4on5,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.909,0.444,0.327,1.062,0.139,1.834,1.193,0.434,0.444,0.434,3.0,2.0,3.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.112,0.0,0.332,0.0,0.0,1.0,8.0,5.0,5.0,0.0,0.08,0.332,0.332,0.192,0.192,0.191
WPG,2011,WPG,2011020045,WPG,CHI,AWAY,20111013,Team Level,5on4,1.0,1.0,1.0,240.0,8.875,0.115,0.991,2.029,0.322,5.695,2.848,0.113,0.115,0.113,6.0,6.0,3.0,15.0,0.0,1.0,0.0,3.0,0.0,6.0,2.0,6.0,12.0,0.0,0.0,7.0,2.0,1.0,0.0,12.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,15.0,12.0,12.0,0.0,0.255,0.015,0.015,0.355,0.355,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
