team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WSH,2008,WSH,2008020013,WSH,ATL,AWAY,20081010,Team Level,other,1.0,0.6667,1.0,182.0,1.562,0.094,0.066,0.564,0.053,0.607,0.616,0.094,0.094,0.094,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.017,0.0,0.0,0.111,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH,2008,WSH,2008020013,WSH,ATL,AWAY,20081010,Team Level,all,0.5988,0.59,0.6049,3600.0,35.379,3.707,1.976,8.277,1.28,18.156,15.604,3.409,3.717,3.42,43.0,6.0,10.0,59.0,4.0,2.0,0.0,10.0,1.0,13.0,19.0,39.0,45.0,12.0,33.0,29.0,20.0,6.0,4.0,38.0,5.0,6.0,0.996,0.66,2.05,1.0,0.0,3.0,58.459,49.0,48.721,3.0,0.474,0.322,0.322,3.858,3.876,3.613,23.219,2.484,1.59,4.831,0.902,12.966,9.227,2.4,2.478,2.394,31.0,1.0,9.0,41.0,7.0,2.0,2.0,3.0,2.0,8.0,10.0,24.0,25.0,9.0,29.0,44.0,16.0,7.0,4.0,21.0,9.0,2.0,0.801,1.078,0.605,2.0,3.0,2.0,41.806,32.0,32.338,2.0,0.359,0.605,0.605,2.238,2.227,2.21
WSH,2008,WSH,2008020013,WSH,ATL,AWAY,20081010,Team Level,5on5,0.5163,0.5738,0.5833,2361.0,19.736,1.583,1.115,4.993,0.828,10.317,9.163,1.529,1.594,1.54,25.0,3.0,7.0,35.0,1.0,2.0,0.0,7.0,1.0,4.0,13.0,24.0,27.0,10.0,26.0,13.0,17.0,2.0,3.0,22.0,5.0,1.0,0.697,0.66,0.227,1.0,0.0,0.0,34.459,28.0,27.721,2.0,0.231,0.322,0.322,1.492,1.51,1.5,14.367,1.483,0.868,3.084,0.48,7.887,6.199,1.443,1.477,1.437,20.0,0.0,6.0,26.0,4.0,1.0,1.0,2.0,0.0,5.0,8.0,16.0,16.0,7.0,22.0,25.0,10.0,6.0,3.0,14.0,5.0,1.0,0.576,0.654,0.254,2.0,1.0,1.0,26.806,20.0,20.338,2.0,0.18,0.254,0.254,1.409,1.398,1.395
WSH,2008,WSH,2008020013,WSH,ATL,AWAY,20081010,Team Level,4on5,0.4077,0.3333,0.3333,584.0,4.89,0.689,0.197,0.881,0.129,1.258,2.846,0.617,0.689,0.617,5.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,1.0,5.0,8.0,1.0,2.0,0.0,4.0,0.0,2.0,0.139,0.0,0.55,0.0,0.0,1.0,7.0,6.0,6.0,0.0,0.048,0.0,0.0,0.736,0.736,0.661,8.853,1.001,0.722,1.747,0.423,5.079,3.029,0.957,1.001,0.957,11.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,8.0,9.0,2.0,7.0,12.0,2.0,0.0,1.0,7.0,4.0,1.0,0.225,0.424,0.351,0.0,2.0,1.0,14.0,12.0,12.0,0.0,0.179,0.351,0.351,0.829,0.829,0.814
WSH,2008,WSH,2008020013,WSH,ATL,AWAY,20081010,Team Level,5on4,1.0,1.0,1.0,473.0,9.191,1.341,0.598,1.839,0.27,5.974,2.979,1.169,1.341,1.169,11.0,2.0,2.0,15.0,2.0,0.0,0.0,2.0,0.0,6.0,3.0,9.0,11.0,1.0,2.0,6.0,2.0,0.0,1.0,10.0,0.0,3.0,0.067,0.0,1.274,0.0,0.0,2.0,15.0,13.0,13.0,1.0,0.178,0.0,0.0,1.518,1.518,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH,2008,WSH,2008020020,WSH,CHI,HOME,20081011,Team Level,other,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.484,0.437,0.125,0.236,0.048,0.855,0.299,0.413,0.437,0.413,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.066,0.0,0.371,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.044,0.371,0.371,0.109,0.109,0.107
WSH,2008,WSH,2008020020,WSH,CHI,HOME,20081011,Team Level,all,0.5302,0.5566,0.55,3600.0,31.779,3.171,2.454,6.358,0.927,18.44,12.65,3.09,3.073,2.992,34.0,10.0,15.0,59.0,4.0,2.0,1.0,4.0,0.0,12.0,22.0,30.0,40.0,6.0,12.0,24.0,17.0,14.0,12.0,29.0,12.0,3.0,1.176,1.301,0.695,2.0,1.0,1.0,57.656,44.0,42.937,3.0,0.524,0.428,0.428,3.267,3.151,3.124,26.452,2.81,2.1,5.625,0.788,15.086,9.592,2.761,2.918,2.866,21.0,15.0,11.0,47.0,2.0,2.0,1.0,4.0,1.0,14.0,13.0,19.0,34.0,4.0,8.0,24.0,21.0,4.0,6.0,29.0,2.0,5.0,0.907,0.202,1.701,1.0,1.0,0.0,49.243,36.0,37.686,4.0,0.52,0.483,0.483,2.847,2.962,2.945
WSH,2008,WSH,2008020020,WSH,CHI,HOME,20081011,Team Level,5on5,0.5927,0.5479,0.5636,2586.0,22.394,2.05,1.76,4.474,0.65,12.894,9.172,2.011,1.951,1.914,25.0,6.0,9.0,40.0,4.0,1.0,1.0,3.0,0.0,10.0,13.0,21.0,27.0,3.0,6.0,12.0,13.0,10.0,6.0,21.0,8.0,2.0,0.731,0.83,0.489,2.0,1.0,1.0,38.656,31.0,29.937,1.0,0.36,0.221,0.221,2.188,2.072,2.052,17.651,1.409,1.254,3.846,0.506,9.978,7.007,1.385,1.517,1.49,15.0,9.0,9.0,33.0,2.0,1.0,1.0,4.0,0.0,6.0,11.0,13.0,22.0,3.0,6.0,17.0,17.0,4.0,5.0,20.0,2.0,2.0,0.747,0.202,0.461,1.0,1.0,0.0,35.243,24.0,25.686,4.0,0.261,0.112,0.112,1.559,1.673,1.66
WSH,2008,WSH,2008020020,WSH,CHI,HOME,20081011,Team Level,4on5,0.0398,0.0833,0.0909,461.0,0.732,0.04,0.024,0.148,0.022,0.282,0.484,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.007,0.0,0.0,0.047,0.047,0.047,7.317,0.964,0.72,1.543,0.235,4.253,2.286,0.963,0.964,0.963,5.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,5.0,10.0,1.0,2.0,3.0,2.0,0.0,1.0,8.0,0.0,2.0,0.095,0.0,0.869,0.0,0.0,0.0,11.0,10.0,10.0,0.0,0.216,0.0,0.0,1.179,1.179,1.178
WSH,2008,WSH,2008020020,WSH,CHI,HOME,20081011,Team Level,5on4,1.0,0.9474,1.0,480.0,8.653,1.082,0.67,1.736,0.255,5.264,2.994,1.039,1.082,1.039,8.0,4.0,6.0,18.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,8.0,12.0,0.0,0.0,5.0,0.0,2.0,3.0,7.0,4.0,1.0,0.405,0.47,0.206,0.0,0.0,0.0,18.0,12.0,12.0,0.0,0.157,0.206,0.206,1.032,1.032,1.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
